"Input","Output","Frequency","VAgreeSurface","*Unraised","ID"
"bashta-RAISER","bashta-RAISER-UNRAISED-B","0","","1",""
"basmixana-RAISER","basmixana-RAISER-RAISED-F","0","1","","1"
"basmixana-RAISER","basmixana-RAISER-RAISED-B","17","","","1"
"basmixana-RAISER","basmixana-RAISER-UNRAISED-F","0","1","1",""
"basmixana-RAISER","basmixana-RAISER-UNRAISED-B","70","","1",""
"bastur-NON_RAISER","bastur-NON_RAISER-RAISED-F","0","1","","1"
"bastur-NON_RAISER","bastur-NON_RAISER-RAISED-B","0","","","1"
"bastur-NON_RAISER","bastur-NON_RAISER-UNRAISED-F","0","1","",""
"bastur-NON_RAISER","bastur-NON_RAISER-UNRAISED-B","484","","",""
"basturush-NON_RAISER","basturush-NON_RAISER-RAISED-F","0","1","","1"
"basturush-NON_RAISER","basturush-NON_RAISER-RAISED-B","0","","","1"
"basturush-NON_RAISER","basturush-NON_RAISER-UNRAISED-F","0","1","",""
"basturush-NON_RAISER","basturush-NON_RAISER-UNRAISED-B","332","","",""
"bataliyon-NON_RAISER","bataliyon-NON_RAISER-RAISED-F","0","1","","1"
"bataliyon-NON_RAISER","bataliyon-NON_RAISER-RAISED-B","0","","","1"
"bataliyon-NON_RAISER","bataliyon-NON_RAISER-UNRAISED-F","0","1","",""
"bataliyon-NON_RAISER","bataliyon-NON_RAISER-UNRAISED-B","2","","",""
"batur-NON_RAISER","batur-NON_RAISER-RAISED-F","0","1","","1"
"batur-NON_RAISER","batur-NON_RAISER-RAISED-B","0","","","1"
"batur-NON_RAISER","batur-NON_RAISER-UNRAISED-F","0","1","",""
"batur-NON_RAISER","batur-NON_RAISER-UNRAISED-B","90","","",""
"baya-RAISER","baya-RAISER-RAISED-F","0","1","","1"
"baya-RAISER","baya-RAISER-RAISED-B","1","","","1"
"baya-RAISER","baya-RAISER-UNRAISED-F","0","1","1",""
"baya-RAISER","baya-RAISER-UNRAISED-B","0","","1",""
"bayan-NON_RAISER","bayan-NON_RAISER-RAISED-F","0","1","","1"
"bayan-NON_RAISER","bayan-NON_RAISER-RAISED-B","0","","","1"
"bayan-NON_RAISER","bayan-NON_RAISER-UNRAISED-F","0","1","",""
"bayan-NON_RAISER","bayan-NON_RAISER-UNRAISED-B","806","","",""
"bayan-NON_RAISER","bayan-NON_RAISER-RAISED-F","0","1","","1"
"bayan-NON_RAISER","bayan-NON_RAISER-RAISED-B","0","","","1"
"bayan-NON_RAISER","bayan-NON_RAISER-UNRAISED-F","0","1","",""
"bayan-NON_RAISER","bayan-NON_RAISER-UNRAISED-B","426","","",""
"bayanat-NON_RAISER","bayanat-NON_RAISER-RAISED-F","0","1","","1"
"bayanat-NON_RAISER","bayanat-NON_RAISER-RAISED-B","0","","","1"
"bayanat-NON_RAISER","bayanat-NON_RAISER-UNRAISED-F","0","1","",""
"bayanat-NON_RAISER","bayanat-NON_RAISER-UNRAISED-B","1172","","",""
"bayanat-RAISER","bayanat-RAISER-RAISED-F","0","1","","1"
"bayanat-RAISER","bayanat-RAISER-RAISED-B","2","","","1"
"bayanat-RAISER","bayanat-RAISER-UNRAISED-F","0","1","1",""
"bayanat-RAISER","bayanat-RAISER-UNRAISED-B","2781","","1",""
"bayanatchi-NON_RAISER","bayanatchi-NON_RAISER-RAISED-F","0","1","","1"
"bayanatchi-NON_RAISER","bayanatchi-NON_RAISER-RAISED-B","0","","","1"
"bayanatchi-NON_RAISER","bayanatchi-NON_RAISER-UNRAISED-F","0","1","",""
"bayanatchi-NON_RAISER","bayanatchi-NON_RAISER-UNRAISED-B","8","","",""
"bayanname-RAISER","bayanname-RAISER-RAISED-F","15","1","","1"
"bayanname-RAISER","bayanname-RAISER-RAISED-B","6","","","1"
"bayanname-RAISER","bayanname-RAISER-UNRAISED-F","0","","1",""
"bayanname-RAISER","bayanname-RAISER-UNRAISED-B","0","1","1",""
"bayawan-NON_RAISER","bayawan-NON_RAISER-RAISED-F","0","1","","1"
"bayawan-NON_RAISER","bayawan-NON_RAISER-RAISED-B","0","","","1"
"bayawan-NON_RAISER","bayawan-NON_RAISER-UNRAISED-F","0","1","",""
"bayawan-NON_RAISER","bayawan-NON_RAISER-UNRAISED-B","25","","",""
"bayram-NON_RAISER","bayram-NON_RAISER-RAISED-F","0","1","","1"
"bayram-NON_RAISER","bayram-NON_RAISER-RAISED-B","0","","","1"
"bayram-NON_RAISER","bayram-NON_RAISER-UNRAISED-F","0","1","",""
"bayram-NON_RAISER","bayram-NON_RAISER-UNRAISED-B","297","","",""
"bayram-RAISER","bayram-RAISER-RAISED-F","0","1","","1"
"bayram-RAISER","bayram-RAISER-RAISED-B","216","","","1"
"bayram-RAISER","bayram-RAISER-UNRAISED-F","0","1","1",""
"bayram-RAISER","bayram-RAISER-UNRAISED-B","0","","1",""
"baytal-NON_RAISER","baytal-NON_RAISER-RAISED-F","0","1","","1"
"baytal-NON_RAISER","baytal-NON_RAISER-RAISED-B","0","","","1"
"baytal-NON_RAISER","baytal-NON_RAISER-UNRAISED-F","0","1","",""
"baytal-NON_RAISER","baytal-NON_RAISER-UNRAISED-B","4","","",""
"baywechche-RAISER","baywechche-RAISER-RAISED-F","33","","","1"
"baywechche-RAISER","baywechche-RAISER-RAISED-B","0","1","","1"
"baywechche-RAISER","baywechche-RAISER-UNRAISED-F","0","","1",""
"baywechche-RAISER","baywechche-RAISER-UNRAISED-B","0","1","1",""
"baza-RAISER","baza-RAISER-RAISED-F","0","1","","1"
"baza-RAISER","baza-RAISER-RAISED-B","186","","","1"
"baza-RAISER","baza-RAISER-UNRAISED-F","0","1","1",""
"baza-RAISER","baza-RAISER-UNRAISED-B","0","","1",""
"bazar-NON_RAISER","bazar-NON_RAISER-RAISED-F","0","1","","1"
"bazar-NON_RAISER","bazar-NON_RAISER-RAISED-B","0","","","1"
"bazar-NON_RAISER","bazar-NON_RAISER-UNRAISED-F","0","1","",""
"bazar-NON_RAISER","bazar-NON_RAISER-UNRAISED-B","1671","","",""
"bazar-RAISER","bazar-RAISER-RAISED-F","0","1","","1"
"bazar-RAISER","bazar-RAISER-RAISED-B","1138","","","1"
"bazar-RAISER","bazar-RAISER-UNRAISED-F","0","1","1",""
"bazar-RAISER","bazar-RAISER-UNRAISED-B","0","","1",""
"bazarchi-NON_RAISER","bazarchi-NON_RAISER-RAISED-F","0","1","","1"
"bazarchi-NON_RAISER","bazarchi-NON_RAISER-RAISED-B","0","","","1"
"bazarchi-NON_RAISER","bazarchi-NON_RAISER-UNRAISED-F","0","1","",""
"bazarchi-NON_RAISER","bazarchi-NON_RAISER-UNRAISED-B","5","","",""
"bechchiwaz-NON_RAISER","bechchiwaz-NON_RAISER-RAISED-F","0","","","1"
"bechchiwaz-NON_RAISER","bechchiwaz-NON_RAISER-RAISED-B","0","1","","1"
"bechchiwaz-NON_RAISER","bechchiwaz-NON_RAISER-UNRAISED-F","0","1","",""
"bechchiwaz-NON_RAISER","bechchiwaz-NON_RAISER-UNRAISED-B","7","","",""
"beddu'a-NON_RAISER","beddu'a-NON_RAISER-RAISED-F","0","1","","1"
"beddu'a-NON_RAISER","beddu'a-NON_RAISER-RAISED-B","0","","","1"
"beddu'a-NON_RAISER","beddu'a-NON_RAISER-UNRAISED-F","1","1","",""
"beddu'a-NON_RAISER","beddu'a-NON_RAISER-UNRAISED-B","1","","",""
"bedel-NON_RAISER","bedel-NON_RAISER-RAISED-F","0","","","1"
"bedel-NON_RAISER","bedel-NON_RAISER-RAISED-B","0","1","","1"
"bedel-NON_RAISER","bedel-NON_RAISER-UNRAISED-F","171","","",""
"bedel-NON_RAISER","bedel-NON_RAISER-UNRAISED-B","0","1","",""
"bedel-RAISER","bedel-RAISER-RAISED-F","665","","","1"
"bedel-RAISER","bedel-RAISER-RAISED-B","0","1","","1"
"bedel-RAISER","bedel-RAISER-UNRAISED-F","0","","1",""
"bedel-RAISER","bedel-RAISER-UNRAISED-B","0","1","1",""
"beden-NON_RAISER","beden-NON_RAISER-RAISED-F","0","","","1"
"beden-NON_RAISER","beden-NON_RAISER-RAISED-B","0","1","","1"
"beden-NON_RAISER","beden-NON_RAISER-UNRAISED-F","83","","",""
"beden-NON_RAISER","beden-NON_RAISER-UNRAISED-B","0","1","",""
"beden-RAISER","beden-RAISER-RAISED-F","166","","","1"
"beden-RAISER","beden-RAISER-RAISED-B","1","1","","1"
"beden-RAISER","beden-RAISER-UNRAISED-F","0","","1",""
"beden-RAISER","beden-RAISER-UNRAISED-B","0","1","1",""
"bedewi-NON_RAISER","bedewi-NON_RAISER-RAISED-F","0","","","1"
"bedewi-NON_RAISER","bedewi-NON_RAISER-RAISED-B","0","1","","1"
"bedewi-NON_RAISER","bedewi-NON_RAISER-UNRAISED-F","6","","",""
"bedewi-NON_RAISER","bedewi-NON_RAISER-UNRAISED-B","0","1","",""
"bedölet-NON_RAISER","bedölet-NON_RAISER-RAISED-F","0","","","1"
"bedölet-NON_RAISER","bedölet-NON_RAISER-RAISED-B","0","1","","1"
"bedölet-NON_RAISER","bedölet-NON_RAISER-UNRAISED-F","4","","",""
"bedölet-NON_RAISER","bedölet-NON_RAISER-UNRAISED-B","0","1","",""
"behre-NON_RAISER","behre-NON_RAISER-RAISED-F","0","","","1"
"behre-NON_RAISER","behre-NON_RAISER-RAISED-B","0","1","","1"
"behre-NON_RAISER","behre-NON_RAISER-UNRAISED-F","3","","",""
"behre-NON_RAISER","behre-NON_RAISER-UNRAISED-B","0","1","",""
"behre-RAISER","behre-RAISER-RAISED-F","4","","","1"
"behre-RAISER","behre-RAISER-RAISED-B","0","1","","1"
"behre-RAISER","behre-RAISER-UNRAISED-F","0","","1",""
"behre-RAISER","behre-RAISER-UNRAISED-B","0","1","1",""
"behrilen-NON_RAISER","behrilen-NON_RAISER-RAISED-F","0","","","1"
"behrilen-NON_RAISER","behrilen-NON_RAISER-RAISED-B","0","1","","1"
"behrilen-NON_RAISER","behrilen-NON_RAISER-UNRAISED-F","1","","",""
"behrilen-NON_RAISER","behrilen-NON_RAISER-UNRAISED-B","0","1","",""
"behrilen-RAISER","behrilen-RAISER-RAISED-F","6","","","1"
"behrilen-RAISER","behrilen-RAISER-RAISED-B","0","1","","1"
"behrilen-RAISER","behrilen-RAISER-UNRAISED-F","0","","1",""
"behrilen-RAISER","behrilen-RAISER-UNRAISED-B","0","1","1",""
"behrimen-NON_RAISER","behrimen-NON_RAISER-RAISED-F","0","","","1"
"behrimen-NON_RAISER","behrimen-NON_RAISER-RAISED-B","0","1","","1"
"behrimen-NON_RAISER","behrimen-NON_RAISER-UNRAISED-F","2","","",""
"behrimen-NON_RAISER","behrimen-NON_RAISER-UNRAISED-B","0","1","",""
"belche-RAISER","belche-RAISER-RAISED-F","3","","","1"
"belche-RAISER","belche-RAISER-RAISED-B","0","1","","1"
"belche-RAISER","belche-RAISER-UNRAISED-F","0","","1",""
"belche-RAISER","belche-RAISER-UNRAISED-B","0","1","1",""
"belen-NON_RAISER","belen-NON_RAISER-RAISED-F","0","","","1"
"belen-NON_RAISER","belen-NON_RAISER-RAISED-B","0","1","","1"
"belen-NON_RAISER","belen-NON_RAISER-UNRAISED-F","1","","",""
"belen-NON_RAISER","belen-NON_RAISER-UNRAISED-B","0","1","",""
"bende-NON_RAISER","bende-NON_RAISER-RAISED-F","0","","","1"
"bende-NON_RAISER","bende-NON_RAISER-RAISED-B","0","1","","1"
"bende-NON_RAISER","bende-NON_RAISER-UNRAISED-F","6","","",""
"bende-NON_RAISER","bende-NON_RAISER-UNRAISED-B","0","1","",""
"bende-RAISER","bende-RAISER-RAISED-F","121","","","1"
"bende-RAISER","bende-RAISER-RAISED-B","0","1","","1"
"bende-RAISER","bende-RAISER-UNRAISED-F","0","","1",""
"bende-RAISER","bende-RAISER-UNRAISED-B","0","1","1",""
"bengbash-NON_RAISER","bengbash-NON_RAISER-RAISED-F","0","","","1"
"bengbash-NON_RAISER","bengbash-NON_RAISER-RAISED-B","0","1","","1"
"bengbash-NON_RAISER","bengbash-NON_RAISER-UNRAISED-F","0","1","",""
"bengbash-NON_RAISER","bengbash-NON_RAISER-UNRAISED-B","1","","",""
"benze-RAISER","benze-RAISER-RAISED-F","2","","","1"
"benze-RAISER","benze-RAISER-RAISED-B","0","1","","1"
"benze-RAISER","benze-RAISER-UNRAISED-F","0","","1",""
"benze-RAISER","benze-RAISER-UNRAISED-B","0","1","1",""
"berbat-NON_RAISER","berbat-NON_RAISER-RAISED-F","0","","","1"
"berbat-NON_RAISER","berbat-NON_RAISER-RAISED-B","0","1","","1"
"berbat-NON_RAISER","berbat-NON_RAISER-UNRAISED-F","0","1","",""
"berbat-NON_RAISER","berbat-NON_RAISER-UNRAISED-B","2","","",""
"berdash-NON_RAISER","berdash-NON_RAISER-RAISED-F","0","","","1"
"berdash-NON_RAISER","berdash-NON_RAISER-RAISED-B","0","1","","1"
"berdash-NON_RAISER","berdash-NON_RAISER-UNRAISED-F","0","1","",""
"berdash-NON_RAISER","berdash-NON_RAISER-UNRAISED-B","304","","",""
"berdem-NON_RAISER","berdem-NON_RAISER-RAISED-F","0","","","1"
"berdem-NON_RAISER","berdem-NON_RAISER-RAISED-B","0","1","","1"
"berdem-NON_RAISER","berdem-NON_RAISER-UNRAISED-F","1","","",""
"berdem-NON_RAISER","berdem-NON_RAISER-UNRAISED-B","0","1","",""
"berqarar-NON_RAISER","berqarar-NON_RAISER-RAISED-F","0","1","","1"
"berqarar-NON_RAISER","berqarar-NON_RAISER-RAISED-B","0","","","1"
"berqarar-NON_RAISER","berqarar-NON_RAISER-UNRAISED-F","0","1","",""
"berqarar-NON_RAISER","berqarar-NON_RAISER-UNRAISED-B","3","","",""
"bésharet-NON_RAISER","bésharet-NON_RAISER-RAISED-F","0","1","","1"
"bésharet-NON_RAISER","bésharet-NON_RAISER-RAISED-B","0","","","1"
"bésharet-NON_RAISER","bésharet-NON_RAISER-UNRAISED-F","34","","",""
"bésharet-NON_RAISER","bésharet-NON_RAISER-UNRAISED-B","0","1","",""
"bésharet-RAISER","bésharet-RAISER-RAISED-F","1","1","","1"
"bésharet-RAISER","bésharet-RAISER-RAISED-B","0","","","1"
"bésharet-RAISER","bésharet-RAISER-UNRAISED-F","0","","1",""
"bésharet-RAISER","bésharet-RAISER-UNRAISED-B","0","1","1",""
"besheylen-NON_RAISER","besheylen-NON_RAISER-RAISED-F","0","","","1"
"besheylen-NON_RAISER","besheylen-NON_RAISER-RAISED-B","0","1","","1"
"besheylen-NON_RAISER","besheylen-NON_RAISER-UNRAISED-F","1","","",""
"besheylen-NON_RAISER","besheylen-NON_RAISER-UNRAISED-B","0","1","",""
"beshshar-NON_RAISER","beshshar-NON_RAISER-RAISED-F","0","","","1"
"beshshar-NON_RAISER","beshshar-NON_RAISER-RAISED-B","0","1","","1"
"beshshar-NON_RAISER","beshshar-NON_RAISER-UNRAISED-F","0","1","",""
"beshshar-NON_RAISER","beshshar-NON_RAISER-UNRAISED-B","2","","",""
"beslesh-NON_RAISER","beslesh-NON_RAISER-RAISED-F","0","","","1"
"beslesh-NON_RAISER","beslesh-NON_RAISER-RAISED-B","0","1","","1"
"beslesh-NON_RAISER","beslesh-NON_RAISER-UNRAISED-F","4","","",""
"beslesh-NON_RAISER","beslesh-NON_RAISER-UNRAISED-B","0","1","",""
"beslesh-RAISER","beslesh-RAISER-RAISED-F","9","","","1"
"beslesh-RAISER","beslesh-RAISER-RAISED-B","0","1","","1"
"beslesh-RAISER","beslesh-RAISER-UNRAISED-F","0","","1",""
"beslesh-RAISER","beslesh-RAISER-UNRAISED-B","0","1","1",""
"betnam-NON_RAISER","betnam-NON_RAISER-RAISED-F","0","","","1"
"betnam-NON_RAISER","betnam-NON_RAISER-RAISED-B","0","1","","1"
"betnam-NON_RAISER","betnam-NON_RAISER-UNRAISED-F","0","1","",""
"betnam-NON_RAISER","betnam-NON_RAISER-UNRAISED-B","37","","",""
"better-NON_RAISER","better-NON_RAISER-RAISED-F","0","","","1"
"better-NON_RAISER","better-NON_RAISER-RAISED-B","0","1","","1"
"better-NON_RAISER","better-NON_RAISER-UNRAISED-F","5","","",""
"better-NON_RAISER","better-NON_RAISER-UNRAISED-B","0","1","",""
"betxej-NON_RAISER","betxej-NON_RAISER-RAISED-F","0","","","1"
"betxej-NON_RAISER","betxej-NON_RAISER-RAISED-B","0","1","","1"
"betxej-NON_RAISER","betxej-NON_RAISER-UNRAISED-F","2","","",""
"betxej-NON_RAISER","betxej-NON_RAISER-UNRAISED-B","0","1","",""
"bextiyar-NON_RAISER","bextiyar-NON_RAISER-RAISED-F","0","","","1"
"bextiyar-NON_RAISER","bextiyar-NON_RAISER-RAISED-B","0","1","","1"
"bextiyar-NON_RAISER","bextiyar-NON_RAISER-UNRAISED-F","0","1","",""
"bextiyar-NON_RAISER","bextiyar-NON_RAISER-UNRAISED-B","25","","",""
"bey'et-NON_RAISER","bey'et-NON_RAISER-RAISED-F","0","","","1"
"bey'et-NON_RAISER","bey'et-NON_RAISER-RAISED-B","0","1","","1"
"bey'et-NON_RAISER","bey'et-NON_RAISER-UNRAISED-F","1","","",""
"bey'et-NON_RAISER","bey'et-NON_RAISER-UNRAISED-B","0","1","",""
"beyazit-NON_RAISER","beyazit-NON_RAISER-RAISED-F","0","","","1"
"beyazit-NON_RAISER","beyazit-NON_RAISER-RAISED-B","0","1","","1"
"beyazit-NON_RAISER","beyazit-NON_RAISER-UNRAISED-F","0","1","",""
"beyazit-NON_RAISER","beyazit-NON_RAISER-UNRAISED-B","2","","",""
"beydu-NON_RAISER","beydu-NON_RAISER-RAISED-F","0","","","1"
"beydu-NON_RAISER","beydu-NON_RAISER-RAISED-B","0","1","","1"
"beydu-NON_RAISER","beydu-NON_RAISER-UNRAISED-F","0","1","",""
"beydu-NON_RAISER","beydu-NON_RAISER-UNRAISED-B","2","","",""
"beynelmilel-NON_RAISER","beynelmilel-NON_RAISER-RAISED-F","0","","","1"
"beynelmilel-NON_RAISER","beynelmilel-NON_RAISER-RAISED-B","0","1","","1"
"beynelmilel-NON_RAISER","beynelmilel-NON_RAISER-UNRAISED-F","9","","",""
"beynelmilel-NON_RAISER","beynelmilel-NON_RAISER-UNRAISED-B","0","1","",""
"beytulmal-NON_RAISER","beytulmal-NON_RAISER-RAISED-F","0","1","","1"
"beytulmal-NON_RAISER","beytulmal-NON_RAISER-RAISED-B","0","","","1"
"beytulmal-NON_RAISER","beytulmal-NON_RAISER-UNRAISED-F","0","1","",""
"beytulmal-NON_RAISER","beytulmal-NON_RAISER-UNRAISED-B","2","","",""
"bi'aram-NON_RAISER","bi'aram-NON_RAISER-RAISED-F","0","1","","1"
"bi'aram-NON_RAISER","bi'aram-NON_RAISER-RAISED-B","0","","","1"
"bi'aram-NON_RAISER","bi'aram-NON_RAISER-UNRAISED-F","0","1","",""
"bi'aram-NON_RAISER","bi'aram-NON_RAISER-UNRAISED-B","44","","",""
"bigherez-NON_RAISER","bigherez-NON_RAISER-RAISED-F","0","","","1"
"bigherez-NON_RAISER","bigherez-NON_RAISER-RAISED-B","0","1","","1"
"bigherez-NON_RAISER","bigherez-NON_RAISER-UNRAISED-F","2","","",""
"bigherez-NON_RAISER","bigherez-NON_RAISER-UNRAISED-B","0","1","",""
"bihajet-NON_RAISER","bihajet-NON_RAISER-RAISED-F","0","1","","1"
"bihajet-NON_RAISER","bihajet-NON_RAISER-RAISED-B","0","","","1"
"bihajet-NON_RAISER","bihajet-NON_RAISER-UNRAISED-F","1","","",""
"bihajet-NON_RAISER","bihajet-NON_RAISER-UNRAISED-B","0","1","",""
"bihude-RAISER","bihude-RAISER-RAISED-F","3","1","","1"
"bihude-RAISER","bihude-RAISER-RAISED-B","1","","","1"
"bihude-RAISER","bihude-RAISER-UNRAISED-F","0","","1",""
"bihude-RAISER","bihude-RAISER-UNRAISED-B","0","1","1",""
"bildürüsh-NON_RAISER","bildürüsh-NON_RAISER-RAISED-F","0","","","1"
"bildürüsh-NON_RAISER","bildürüsh-NON_RAISER-RAISED-B","0","1","","1"
"bildürüsh-NON_RAISER","bildürüsh-NON_RAISER-UNRAISED-F","6","","",""
"bildürüsh-NON_RAISER","bildürüsh-NON_RAISER-UNRAISED-B","0","1","",""
"bilermen-NON_RAISER","bilermen-NON_RAISER-RAISED-F","0","","","1"
"bilermen-NON_RAISER","bilermen-NON_RAISER-RAISED-B","0","1","","1"
"bilermen-NON_RAISER","bilermen-NON_RAISER-UNRAISED-F","11","","",""
"bilermen-NON_RAISER","bilermen-NON_RAISER-UNRAISED-B","0","1","",""
"bimene-RAISER","bimene-RAISER-RAISED-F","84","","","1"
"bimene-RAISER","bimene-RAISER-RAISED-B","0","1","","1"
"bimene-RAISER","bimene-RAISER-UNRAISED-F","0","","1",""
"bimene-RAISER","bimene-RAISER-UNRAISED-B","0","1","1",""
"bingtuen-NON_RAISER","bingtuen-NON_RAISER-RAISED-F","0","1","","1"
"bingtuen-NON_RAISER","bingtuen-NON_RAISER-RAISED-B","0","","","1"
"bingtuen-NON_RAISER","bingtuen-NON_RAISER-UNRAISED-F","51","","",""
"bingtuen-NON_RAISER","bingtuen-NON_RAISER-UNRAISED-B","0","1","",""
"bingtuen-NON_RAISER","bingtuen-NON_RAISER-RAISED-F","0","1","","1"
"bingtuen-NON_RAISER","bingtuen-NON_RAISER-RAISED-B","0","","","1"
"bingtuen-NON_RAISER","bingtuen-NON_RAISER-UNRAISED-F","23","","",""
"bingtuen-NON_RAISER","bingtuen-NON_RAISER-UNRAISED-B","0","1","",""
"bingtüen-NON_RAISER","bingtüen-NON_RAISER-RAISED-F","0","","","1"
"bingtüen-NON_RAISER","bingtüen-NON_RAISER-RAISED-B","0","1","","1"
"bingtüen-NON_RAISER","bingtüen-NON_RAISER-UNRAISED-F","14","","",""
"bingtüen-NON_RAISER","bingtüen-NON_RAISER-UNRAISED-B","0","1","",""
"bingtüen-NON_RAISER","bingtüen-NON_RAISER-RAISED-F","0","","","1"
"bingtüen-NON_RAISER","bingtüen-NON_RAISER-RAISED-B","0","1","","1"
"bingtüen-NON_RAISER","bingtüen-NON_RAISER-UNRAISED-F","2","","",""
"bingtüen-NON_RAISER","bingtüen-NON_RAISER-UNRAISED-B","0","1","",""
"binormal-NON_RAISER","binormal-NON_RAISER-RAISED-F","0","1","","1"
"binormal-NON_RAISER","binormal-NON_RAISER-RAISED-B","0","","","1"
"binormal-NON_RAISER","binormal-NON_RAISER-UNRAISED-F","0","1","",""
"binormal-NON_RAISER","binormal-NON_RAISER-UNRAISED-B","38","","",""
"biqarar-NON_RAISER","biqarar-NON_RAISER-RAISED-F","0","1","","1"
"biqarar-NON_RAISER","biqarar-NON_RAISER-RAISED-B","0","","","1"
"biqarar-NON_RAISER","biqarar-NON_RAISER-UNRAISED-F","0","1","",""
"biqarar-NON_RAISER","biqarar-NON_RAISER-UNRAISED-B","3","","",""
"bireylen-NON_RAISER","bireylen-NON_RAISER-RAISED-F","0","","","1"
"bireylen-NON_RAISER","bireylen-NON_RAISER-RAISED-B","0","1","","1"
"bireylen-NON_RAISER","bireylen-NON_RAISER-UNRAISED-F","11","","",""
"bireylen-NON_RAISER","bireylen-NON_RAISER-UNRAISED-B","0","1","",""
"birleshme-RAISER","birleshme-RAISER-RAISED-F","168","","","1"
"birleshme-RAISER","birleshme-RAISER-RAISED-B","0","1","","1"
"birleshme-RAISER","birleshme-RAISER-UNRAISED-F","0","","1",""
"birleshme-RAISER","birleshme-RAISER-UNRAISED-B","0","1","1",""
"birleshtür-NON_RAISER","birleshtür-NON_RAISER-RAISED-F","0","","","1"
"birleshtür-NON_RAISER","birleshtür-NON_RAISER-RAISED-B","0","1","","1"
"birleshtür-NON_RAISER","birleshtür-NON_RAISER-UNRAISED-F","74","","",""
"birleshtür-NON_RAISER","birleshtür-NON_RAISER-UNRAISED-B","1","1","",""
"birnechche-RAISER","birnechche-RAISER-RAISED-F","12","","","1"
"birnechche-RAISER","birnechche-RAISER-RAISED-B","0","1","","1"
"birnechche-RAISER","birnechche-RAISER-UNRAISED-F","0","","1",""
"birnechche-RAISER","birnechche-RAISER-UNRAISED-B","0","1","1",""
"birqanche-RAISER","birqanche-RAISER-RAISED-F","5","1","","1"
"birqanche-RAISER","birqanche-RAISER-RAISED-B","1","","","1"
"birqanche-RAISER","birqanche-RAISER-UNRAISED-F","0","","1",""
"birqanche-RAISER","birqanche-RAISER-UNRAISED-B","0","1","1",""
"biseremjan-NON_RAISER","biseremjan-NON_RAISER-RAISED-F","0","","","1"
"biseremjan-NON_RAISER","biseremjan-NON_RAISER-RAISED-B","0","1","","1"
"biseremjan-NON_RAISER","biseremjan-NON_RAISER-UNRAISED-F","0","1","",""
"biseremjan-NON_RAISER","biseremjan-NON_RAISER-UNRAISED-B","8","","",""
"bisharet-NON_RAISER","bisharet-NON_RAISER-RAISED-F","0","1","","1"
"bisharet-NON_RAISER","bisharet-NON_RAISER-RAISED-B","0","","","1"
"bisharet-NON_RAISER","bisharet-NON_RAISER-UNRAISED-F","24","","",""
"bisharet-NON_RAISER","bisharet-NON_RAISER-UNRAISED-B","0","1","",""
"bisharet-RAISER","bisharet-RAISER-RAISED-F","3","1","","1"
"bisharet-RAISER","bisharet-RAISER-RAISED-B","0","","","1"
"bisharet-RAISER","bisharet-RAISER-UNRAISED-F","0","","1",""
"bisharet-RAISER","bisharet-RAISER-UNRAISED-B","0","1","1",""
"biteley-NON_RAISER","biteley-NON_RAISER-RAISED-F","0","","","1"
"biteley-NON_RAISER","biteley-NON_RAISER-RAISED-B","0","1","","1"
"biteley-NON_RAISER","biteley-NON_RAISER-UNRAISED-F","2","","",""
"biteley-NON_RAISER","biteley-NON_RAISER-UNRAISED-B","0","1","",""
"biterep-NON_RAISER","biterep-NON_RAISER-RAISED-F","0","","","1"
"biterep-NON_RAISER","biterep-NON_RAISER-RAISED-B","0","1","","1"
"biterep-NON_RAISER","biterep-NON_RAISER-UNRAISED-F","24","","",""
"biterep-NON_RAISER","biterep-NON_RAISER-UNRAISED-B","0","1","",""
"bixeste-RAISER","bixeste-RAISER-RAISED-F","1","","","1"
"bixeste-RAISER","bixeste-RAISER-RAISED-B","0","1","","1"
"bixeste-RAISER","bixeste-RAISER-UNRAISED-F","0","","1",""
"bixeste-RAISER","bixeste-RAISER-UNRAISED-B","0","1","1",""
"bixeter-NON_RAISER","bixeter-NON_RAISER-RAISED-F","0","","","1"
"bixeter-NON_RAISER","bixeter-NON_RAISER-RAISED-B","0","1","","1"
"bixeter-NON_RAISER","bixeter-NON_RAISER-UNRAISED-F","3","","",""
"bixeter-NON_RAISER","bixeter-NON_RAISER-UNRAISED-B","0","1","",""
"bixewer-NON_RAISER","bixewer-NON_RAISER-RAISED-F","0","","","1"
"bixewer-NON_RAISER","bixewer-NON_RAISER-RAISED-B","0","1","","1"
"bixewer-NON_RAISER","bixewer-NON_RAISER-UNRAISED-F","3","","",""
"bixewer-NON_RAISER","bixewer-NON_RAISER-UNRAISED-B","0","1","",""
"biyuro-NON_RAISER","biyuro-NON_RAISER-RAISED-F","0","1","","1"
"biyuro-NON_RAISER","biyuro-NON_RAISER-RAISED-B","0","","","1"
"biyuro-NON_RAISER","biyuro-NON_RAISER-UNRAISED-F","0","1","",""
"biyuro-NON_RAISER","biyuro-NON_RAISER-UNRAISED-B","2","","",""
"bödüne-RAISER","bödüne-RAISER-RAISED-F","6","","","1"
"bödüne-RAISER","bödüne-RAISER-RAISED-B","0","1","","1"
"bödüne-RAISER","bödüne-RAISER-UNRAISED-F","0","","1",""
"bödüne-RAISER","bödüne-RAISER-UNRAISED-B","0","1","1",""
"boghuzla-RAISER","boghuzla-RAISER-RAISED-F","0","1","","1"
"boghuzla-RAISER","boghuzla-RAISER-RAISED-B","3","","","1"
