"","","","VAgree","HarmonizeBack","HarmonizeFront"
"hadise","hadise-RAISE-F","970","1","0.00799906894901711",""
"","hadise-RAISE-B","4","","","0.992000931050983"
"hajet","hajet-RAISE-F","17","1","0.00425795022212276",""
"","hajet-RAISE-B","0","","","0.995742049777877"
"hajetxana","hajetxana-RAISE-F","0","1","0.991909121475755",""
"","hajetxana-RAISE-B","46","","","0.00809087852424484"
"halawet","halawet-RAISE-F","1","1","0.0244516518871007",""
"","halawet-RAISE-B","0","","","0.975548348112899"
"halet","halet-RAISE-F","701","1","0.00264816453327776",""
"","halet-RAISE-B","6","","","0.997351835466722"
"halsizlan","halsizlan-RAISE-F","0","1","0.958194927400623",""
"","halsizlan-RAISE-B","3","","","0.0418050725993766"
"hamile","hamile-RAISE-F","13","1","0.0199212159085132",""
"","hamile-RAISE-B","0","","","0.980078784091487"
"hangra","hangra-RAISE-F","0","1","0.930424500861668",""
"","hangra-RAISE-B","3","","","0.0695754991383322"
"haqaret","haqaret-RAISE-F","8","1","0.00290398560319081",""
"","haqaret-RAISE-B","0","","","0.997096014396809"
"haqaretle","haqaretle-RAISE-F","19","","0.137107351236621",""
"","haqaretle-RAISE-B","0","1","","0.862892648763379"
"haramzade","haramzade-RAISE-F","2","1","0.0294562222341853",""
"","haramzade-RAISE-B","0","","","0.970543777765815"
"hararet","hararet-RAISE-F","3","1","0.0318917979984777",""
"","hararet-RAISE-B","0","","","0.968108202001522"
"harpa","harpa-RAISE-F","0","1","0.996451100474929",""
"","harpa-RAISE-B","1543","","","0.0035488995250712"
"harwa","harwa-RAISE-F","0","1","0.991748175610534",""
"","harwa-RAISE-B","84","","","0.00825182438946626"
"hasa","hasa-RAISE-F","0","1","0.990442558618398",""
"","hasa-RAISE-B","23","","","0.00955744138160153"
"hashar","hashar-RAISE-F","0","1","0.994677189338632",""
"","hashar-RAISE-B","5","","","0.00532281066136842"
"hasharcha","hasharcha-RAISE-F","0","1","0.939814618134212",""
"","hasharcha-RAISE-B","4","","","0.0601853818657878"
"hasira","hasira-RAISE-F","0","1","0.835853492011631",""
"","hasira-RAISE-B","1","","","0.164146507988369"
"hawale","hawale-RAISE-F","3","1","0.00240631931557886",""
"","hawale-RAISE-B","1","","","0.997593680684421"
"hawsha","hawsha-RAISE-F","0","1","0.930424500861668",""
"","hawsha-RAISE-B","1","","","0.0695754991383322"
"hayajan","hayajan-RAISE-F","0","1","0.997626338300383",""
"","hayajan-RAISE-B","2","","","0.00237366169961739"
"hayajanlan","hayajanlan-RAISE-F","0","1","0.991442994698901",""
"","hayajanlan-RAISE-B","5","","","0.00855700530109893"
"hayan","hayan-RAISE-F","0","1","0.968225817137675",""
"","hayan-RAISE-B","2","","","0.0317741828623251"
"hazar","hazar-RAISE-F","0","1","0.982748219611611",""
"","hazar-RAISE-B","3","","","0.0172517803883895"
"hazirla","hazirla-RAISE-F","0","1","0.996390960331964",""
"","hazirla-RAISE-B","24","","","0.00360903966803561"
"héchnerse","héchnerse-RAISE-F","41","","0.00741362770347594",""
"","héchnerse-RAISE-B","0","1","","0.992586372296524"
"hediye","hediye-RAISE-F","7","","0.00219678986218052",""
"","hediye-RAISE-B","0","1","","0.997803210137819"
"hejile","hejile-RAISE-F","1","","0.489178423338703",""
"","hejile-RAISE-B","0","1","","0.510821576661297"
"hékaye","hékaye-RAISE-F","535","1","0.0084940325752639",""
"","hékaye-RAISE-B","20","","","0.991505967424736"
"hemdusana","hemdusana-RAISE-F","0","1","0.982638519624583",""
"","hemdusana-RAISE-B","1","","","0.0173614803754168"
"hemkarlash","hemkarlash-RAISE-F","0","1","0.996408846934653",""
"","hemkarlash-RAISE-B","201","","","0.00359115306534696"
"hemme","hemme-RAISE-F","586","","0.0223407064751543",""
"","hemme-RAISE-B","0","1","","0.977659293524846"
"hemshire","hemshire-RAISE-F","10","","0.104356389232345",""
"","hemshire-RAISE-B","0","1","","0.895643610767655"
"hemze","hemze-RAISE-F","4","","0.0150211713863738",""
"","hemze-RAISE-B","0","1","","0.984978828613626"
"hepse","hepse-RAISE-F","22","","0.139631959007395",""
"","hepse-RAISE-B","0","1","","0.860368040992606"
"hepte","hepte-RAISE-F","1745","","0.00323351185781852",""
"","hepte-RAISE-B","0","1","","0.996766488142181"
"heqqaniyet","heqqaniyet-RAISE-F","3","1","0.00397615096508084",""
"","heqqaniyet-RAISE-B","0","","","0.996023849034919"
"here","here-RAISE-F","19","","0.0265384078964686",""
"","here-RAISE-B","0","1","","0.973461592103531"
"heriketlen","heriketlen-RAISE-F","14","","0.0836754953827065",""
"","heriketlen-RAISE-B","0","1","","0.916324504617294"
"hésabla","hésabla-RAISE-F","0","1","0.995344884767009",""
"","hésabla-RAISE-B","94","","","0.00465511523299056"
"hésapla","hésapla-RAISE-F","0","1","0.99691621075744",""
"","hésapla-RAISE-B","39","","","0.00308378924256048"
"hésaplan","hésaplan-RAISE-F","0","1","0.996336757474474",""
"","hésaplan-RAISE-B","94","","","0.00366324252552641"
"hesret","hesret-RAISE-F","27","","0.00583775267371869",""
"","hesret-RAISE-B","0","1","","0.994162247326281"
"hesretlen","hesretlen-RAISE-F","5","","0.108683966803436",""
"","hesretlen-RAISE-B","0","1","","0.891316033196564"
"hesse","hesse-RAISE-F","215","","0.00325673723623698",""
"","hesse-RAISE-B","0","1","","0.996743262763763"
"hewes","hewes-RAISE-F","1","","0.00427082538412245",""
"","hewes-RAISE-B","0","1","","0.995729174615878"
"hey'et","hey'et-RAISE-F","49","","0.00478436949908014",""
"","hey'et-RAISE-B","0","1","","0.99521563050092"
"heyde","heyde-RAISE-F","24","","0.0118002510097014",""
"","heyde-RAISE-B","0","1","","0.988199748990299"
"heywe","heywe-RAISE-F","19","","0.00950233879020177",""
"","heywe-RAISE-B","0","1","","0.990497661209798"
"heywet","heywet-RAISE-F","1","","0.00406723272899267",""
"","heywet-RAISE-B","0","1","","0.995932767271007"
"hidayet","hidayet-RAISE-F","5","1","0.00552560238232396",""
"","hidayet-RAISE-B","0","","","0.994474397617676"
"hikaye","hikaye-RAISE-F","51","1","0.0380899768189054",""
"","hikaye-RAISE-B","6","","","0.961910023181095"
"himaye","himaye-RAISE-F","177","1","0.00301147352030082",""
"","himaye-RAISE-B","0","","","0.996988526479699"
"hindunéziye","hindunéziye-RAISE-F","1","1","0.0734496305501368",""
"","hindunéziye-RAISE-B","0","","","0.926550369449863"
"hisablan","hisablan-RAISE-F","0","1","0.967181726130093",""
"","hisablan-RAISE-B","1","","","0.0328182738699071"
"hisaplan","hisaplan-RAISE-F","0","1","0.985683423778298",""
"","hisaplan-RAISE-B","6","","","0.0143165762217016"
"hödde","hödde-RAISE-F","127","","0.0329849302961145",""
"","hödde-RAISE-B","0","1","","0.967015069703886"
"höjjet","höjjet-RAISE-F","121","","0.00140213700821783",""
"","höjjet-RAISE-B","0","1","","0.998597862991782"
"hökümet","hökümet-RAISE-F","2470","","0.00226852793648418",""
"","hökümet-RAISE-B","0","1","","0.997731472063516"
"höriyet","höriyet-RAISE-F","1","","0.00609379803756297",""
"","höriyet-RAISE-B","0","1","","0.993906201962437"
"hörmet","hörmet-RAISE-F","615","","0.00135536373875918",""
"","hörmet-RAISE-B","0","1","","0.998644636261241"
"hörmetle","hörmetle-RAISE-F","41","","0.101581439572806",""
"","hörmetle-RAISE-B","0","1","","0.898418560427194"
"hoyla","hoyla-RAISE-F","0","1","0.995537348076939",""
"","hoyla-RAISE-B","537","","","0.00446265192306083"
"hüjeyre","hüjeyre-RAISE-F","53","","0.0297979566276599",""
"","hüjeyre-RAISE-B","0","1","","0.97020204337234"
"hujra","hujra-RAISE-F","0","1","0.980499569159228",""
"","hujra-RAISE-B","24","","","0.0195004308407721"
"hüner","hüner-RAISE-F","17","","0.0080593698528571",""
"","hüner-RAISE-B","0","1","","0.991940630147143"
"huwla","huwla-RAISE-F","0","1","0.951049111119629",""
"","huwla-RAISE-B","5","","","0.0489508888803714"
"huzurlan","huzurlan-RAISE-F","0","1","0.983633707168008",""
"","huzurlan-RAISE-B","11","","","0.0163662928319915"
"i'ane","i'ane-RAISE-F","15","1","0.00433925574489182",""
"","i'ane-RAISE-B","0","","","0.995660744255108"
"i'ordaniye","i'ordaniye-RAISE-F","8","1","0.0152866324687445",""
"","i'ordaniye-RAISE-B","0","","","0.984713367531255"
"ibadet","ibadet-RAISE-F","18","1","0.00302807829780173",""
"","ibadet-RAISE-B","0","","","0.996971921702198"
"ibadetxana","ibadetxana-RAISE-F","1.99999999999999","1","0.993091954568017",""
"","ibadetxana-RAISE-B","116","","","0.00690804543198331"
"ibare","ibare-RAISE-F","478","1","0.0197177591267971",""
"","ibare-RAISE-B","1","","","0.980282240873203"
"idare","idare-RAISE-F","913","1","0.00714717026004784",""
"","idare-RAISE-B","113","","","0.992852829739952"
"igelle","igelle-RAISE-F","5","","0.00901237541249081",""
"","igelle-RAISE-B","1","1","","0.990987624587509"
"ijadiyet","ijadiyet-RAISE-F","417","1","0.00727319220729126",""
"","ijadiyet-RAISE-B","2","","","0.992726807792709"
"ijare","ijare-RAISE-F","428","1","0.0158823447185493",""
"","ijare-RAISE-B","1","","","0.984117655281451"
"ijazet","ijazet-RAISE-F","8","1","0.00776415152532206",""
"","ijazet-RAISE-B","0","","","0.992235848474678"
"ijazetname","ijazetname-RAISE-F","10","1","0.232975465754479",""
"","ijazetname-RAISE-B","2","","","0.767024534245521"
"ijtima'iyet","ijtima'iyet-RAISE-F","3","1","0.0275138813022208",""
"","ijtima'iyet-RAISE-B","0","","","0.972486118697779"
"ilahe","ilahe-RAISE-F","1","1","0.02819079130245",""
"","ilahe-RAISE-B","2","","","0.97180920869755"
"ilawe","ilawe-RAISE-F","11","1","0.0193522233302406",""
"","ilawe-RAISE-B","5","","","0.980647776669759"
"ilgharlash","ilgharlash-RAISE-F","0","1","0.941993045114454",""
"","ilgharlash-RAISE-B","1","","","0.0580069548855457"
"ilhamlan","ilhamlan-RAISE-F","0","1","0.98124224797939",""
"","ilhamlan-RAISE-B","1","","","0.0187577520206103"
"imaret","imaret-RAISE-F","1","1","0.00441343486767146",""
"","imaret-RAISE-B","0","","","0.995586565132329"
"imkaniyet","imkaniyet-RAISE-F","624","1","0.00610657245243721",""
"","imkaniyet-RAISE-B","0","","","0.993893427547563"
"imzala","imzala-RAISE-F","0","1","0.993975271834036",""
"","imzala-RAISE-B","27","","","0.00602472816596389"
"inawet","inawet-RAISE-F","32","1","0.00425460942480939",""
"","inawet-RAISE-B","0","","","0.995745390575191"
"ingele","ingele-RAISE-F","1","","0.489178423338703",""
"","ingele-RAISE-B","0","1","","0.510821576661297"
"ipade","ipade-RAISE-F","241","1","0.00596711525312471",""
"","ipade-RAISE-B","1","","","0.994032884746875"
"ipadila","ipadila-RAISE-F","60","1","0.988515253849428",""
"","ipadila-RAISE-B","0","","","0.0114847461505717"
"iptixarlan","iptixarlan-RAISE-F","0","1","0.9787875313961",""
"","iptixarlan-RAISE-B","5","","","0.0212124686038998"
"iqamet","iqamet-RAISE-F","1","1","0.00850464641203744",""
"","iqamet-RAISE-B","0","","","0.991495353587963"
"irade","irade-RAISE-F","545","1","0.0146882248301186",""
"","irade-RAISE-B","2","","","0.985311775169881"
"irlandiye","irlandiye-RAISE-F","1","1","0.0376135952282541",""
"","irlandiye-RAISE-B","0","","","0.962386404771746"
"ishare","ishare-RAISE-F","2","1","0.00906890058754083",""
"","ishare-RAISE-B","0","","","0.990931099412459"
"isharetle","isharetle-RAISE-F","13","","0.171952662238044",""
"","isharetle-RAISE-B","0","1","","0.828047337761956"
"ishghaliyet","ishghaliyet-RAISE-F","57","1","0.0193229310856017",""
"","ishghaliyet-RAISE-B","0","","","0.980677068914398"
"ishxana","ishxana-RAISE-F","2","1","0.997144223163194",""
"","ishxana-RAISE-B","634","","","0.00285577683680571"
"iskenje","iskenje-RAISE-F","154","","0.0364497959634659",""
"","iskenje-RAISE-B","0","1","","0.963550204036534"
"ispaniye","ispaniye-RAISE-F","24","1","0.00772058052238168",""
"","ispaniye-RAISE-B","0","","","0.992279419477618"
"isparta","isparta-RAISE-F","0","1","0.97042703497764",""
"","isparta-RAISE-B","1","","","0.02957296502236"
"ispatla","ispatla-RAISE-F","0","1","0.997365848056756",""
"","ispatla-RAISE-B","121","","","0.00263415194324412"
"ispatname","ispatname-RAISE-F","8","1","0.282310168398139",""
"","ispatname-RAISE-B","0","","","0.717689831601861"
"isra'iliye","isra'iliye-RAISE-F","19","1","0.00546342798594895",""
"","isra'iliye-RAISE-B","0","","","0.994536572014051"
"istansa","istansa-RAISE-F","2","1","0.995062314312592",""
"","istansa-RAISE-B","212","","","0.00493768568740793"
"istiqamet","istiqamet-RAISE-F","1","1","0.0443279823689839",""
"","istiqamet-RAISE-B","0","","","0.955672017631016"
"istirahetxana","istirahetxana-RAISE-F","0","1","0.939252326769985",""
"","istirahetxana-RAISE-B","1","","","0.0607476732300152"
"ita'et","ita'et-RAISE-F","3","1","0.00602204142979921",""
"","ita'et-RAISE-B","0","","","0.993977958570201"
"italiye","italiye-RAISE-F","21","1","0.00456080790626926",""
"","italiye-RAISE-B","0","","","0.995439192093731"
"ixchamla","ixchamla-RAISE-F","0","1","0.914880197714589",""
"","ixchamla-RAISE-B","1","","","0.0851198022854114"
"izahla","izahla-RAISE-F","0.999999999999999","1","0.984258640506757",""
"","izahla-RAISE-B","12","","","0.0157413594932427"
"izzetle","izzetle-RAISE-F","10","","0.211852806165043",""
"","izzetle-RAISE-B","0","1","","0.788147193834957"
"jada","jada-RAISE-F","0","1","0.880924449858283",""
"","jada-RAISE-B","2","","","0.119075550141717"
"jahalet","jahalet-RAISE-F","2","1","0.00398142376240376",""
"","jahalet-RAISE-B","0","","","0.996018576237596"
"jakarla","jakarla-RAISE-F","0","1","0.995810097417701",""
"","jakarla-RAISE-B","60","","","0.00418990258229923"
"jakarname","jakarname-RAISE-F","0","1","0.487703277096675",""
"","jakarname-RAISE-B","1","","","0.512296722903325"
"jama'et","jama'et-RAISE-F","374","1","0.00292021120403267",""
"","jama'et-RAISE-B","0","","","0.997079788795967"
"janane","janane-RAISE-F","0","1","0.793979921488438",""
"","janane-RAISE-B","2","","","0.206020078511562"
"jangza","jangza-RAISE-F","0","1","0.984038774045969",""
"","jangza-RAISE-B","7","","","0.0159612259540308"
"janlan","janlan-RAISE-F","0","1","0.991128994225535",""
"","janlan-RAISE-B","48","","","0.00887100577446542"
"jarahet","jarahet-RAISE-F","12","1","0.00714923430637304",""
"","jarahet-RAISE-B","0","","","0.992850765693627"
"jarangla","jarangla-RAISE-F","0","1","0.95301853512572",""
"","jarangla-RAISE-B","3","","","0.0469814648742799"
"jasaret","jasaret-RAISE-F","69","1","0.00735053598313377",""
"","jasaret-RAISE-B","0","","","0.992649464016866"
"jasaretlen","jasaretlen-RAISE-F","2","","0.133312071408096",""
"","jasaretlen-RAISE-B","0","1","","0.866687928591904"
"jayla","jayla-RAISE-F","0","1","0.923789143168634",""
"","jayla-RAISE-B","2","","","0.0762108568313656"
"jaylash","jaylash-RAISE-F","0","1","0.984116902076225",""
"","jaylash-RAISE-B","10","","","0.015883097923775"
"jaza","jaza-RAISE-F","0","1","0.99926509056089",""
"","jaza-RAISE-B","12","","","0.000734909439109699"
"jazala","jazala-RAISE-F","0","1","0.996335069977068",""
"","jazala-RAISE-B","67","","","0.00366493002293167"
"jazalash","jazalash-RAISE-F","0","1","0.990151647475517",""
"","jazalash-RAISE-B","37","","","0.00984835252448324"
"jazibe","jazibe-RAISE-F","1","1","0.135802076163446",""
"","jazibe-RAISE-B","0","","","0.864197923836554"
"jede","jede-RAISE-F","1","","0.489178423338703",""
"","jede-RAISE-B","0","1","","0.510821576661297"
"jédellesh","jédellesh-RAISE-F","1","","0.100003933117774",""
"","jédellesh-RAISE-B","0","1","","0.899996066882226"
"jedwel","jedwel-RAISE-F","32","","0.0102067808886389",""
"","jedwel-RAISE-B","0","1","","0.989793219111361"
"jehennem","jehennem-RAISE-F","1","","0.00701807868891907",""
"","jehennem-RAISE-B","0","1","","0.992981921311081"
"jem'iyet","jem'iyet-RAISE-F","1004","","0.00257681798398759",""
"","jem'iyet-RAISE-B","0","1","","0.997423182016012"
"jem'yet","jem'yet-RAISE-F","2","","0.0481164688044069",""
"","jem'yet-RAISE-B","0","1","","0.951883531195593"
"jemi'et","jemi'et-RAISE-F","1","","0.0214112666554397",""
"","jemi'et-RAISE-B","0","1","","0.97858873334456"
"jemiyet","jemiyet-RAISE-F","408","","0.00179516367477093",""
"","jemiyet-RAISE-B","0","1","","0.998204836325229"
"jemle","jemle-RAISE-F","4","","0.229859655149516",""
"","jemle-RAISE-B","0","1","","0.770140344850484"
"jemlesh","jemlesh-RAISE-F","1","","0.175550158920531",""
"","jemlesh-RAISE-B","0","1","","0.824449841079469"
"jengname","jengname-RAISE-F","1","1","0.128613593344114",""
"","jengname-RAISE-B","0","","","0.871386406655886"
"jennet","jennet-RAISE-F","12","","0.00286465758539111",""
"","jennet-RAISE-B","0","1","","0.997135342414609"
"jerimane","jerimane-RAISE-F","15","1","0.00450728397109055",""
"","jerimane-RAISE-B","1","","","0.995492716028909"
"jeset","jeset-RAISE-F","13","","0.00667333468586028",""
"","jeset-RAISE-B","0","1","","0.99332666531414"
"jewher","jewher-RAISE-F","3","","0.00731242822122108",""
"","jewher-RAISE-B","0","1","","0.992687571778779"
"jezire","jezire-RAISE-F","14","","0.00781485001475017",""
"","jezire-RAISE-B","0","1","","0.99218514998525"
"jinayet","jinayet-RAISE-F","215","1","0.00242351858706321",""
"","jinayet-RAISE-B","0","","","0.997576481412937"
"jismaniyet","jismaniyet-RAISE-F","6","1","0.0665506778721349",""
"","jismaniyet-RAISE-B","0","","","0.933449322127865"
"jora","jora-RAISE-F","0","1","0.983727650162022",""
"","jora-RAISE-B","5","","","0.0162723498379778"
"joza","joza-RAISE-F","0","1","0.988463504619133",""
"","joza-RAISE-B","44","","","0.0115364953808668"
"jughlanma","jughlanma-RAISE-F","0","1","0.976942950839865",""
"","jughlanma-RAISE-B","12","","","0.0230570491601347"
"julala","julala-RAISE-F","0","1","0.939814618134212",""
"","julala-RAISE-B","4","","","0.0601853818657878"
"jumhuriyet","jumhuriyet-RAISE-F","654","1","0.00327822602205645",""
"","jumhuriyet-RAISE-B","4","","","0.996721773977944"
"jüple","jüple-RAISE-F","1","","0.40890648317002",""
"","jüple-RAISE-B","0","1","","0.59109351682998"
"jür'et","jür'et-RAISE-F","9","","0.00237469755118356",""
"","jür'et-RAISE-B","0","1","","0.997625302448816"
"jurnal","jurnal-RAISE-F","0","1","0.98545773235011",""
"","jurnal-RAISE-B","3","","","0.0145422676498901"
"juwawa","juwawa-RAISE-F","0","1","0.980616236004492",""
"","juwawa-RAISE-B","2","","","0.0193837639955078"
"kachat","kachat-RAISE-F","0","1","0.974013210747046",""
"","kachat-RAISE-B","9","","","0.0259867892529539"
"kafédra","kafédra-RAISE-F","0","1","0.99213520189271",""
"","kafédra-RAISE-B","87","","","0.00786479810728957"
"kala","kala-RAISE-F","0","1","0.995020326590661",""
"","kala-RAISE-B","57","","","0.00497967340933858"
"kaliforniye","kaliforniye-RAISE-F","8","1","0.00466100972304773",""
"","kaliforniye-RAISE-B","0","","","0.995338990276952"
"kalla","kalla-RAISE-F","0","1","0.995478062976051",""
"","kalla-RAISE-B","199","","","0.00452193702394865"
"kamalet","kamalet-RAISE-F","15","1","0.00483777213791047",""
"","kamalet-RAISE-B","0","","","0.99516222786209"
"kamar","kamar-RAISE-F","0","1","0.986202408378832",""
"","kamar-RAISE-B","71","","","0.0137975916211679"
"kaméra","kaméra-RAISE-F","0","1","0.99346387360741",""
"","kaméra-RAISE-B","23","","","0.00653612639258982"
"kana","kana-RAISE-F","0","1","0.983927164272933",""
"","kana-RAISE-B","38","","","0.0160728357270671"
"kanay","kanay-RAISE-F","1","1","0.990743934850965",""
"","kanay-RAISE-B","5","","","0.0092560651490351"
"kapalet","kapalet-RAISE-F","29","1","0.0015902734475611",""
"","kapalet-RAISE-B","1","","","0.998409726552439"
"kapaletlen","kapaletlen-RAISE-F","1","","0.40890648317002",""
"","kapaletlen-RAISE-B","0","1","","0.59109351682998"
"kapaletname","kapaletname-RAISE-F","5","1","0.0919583711365115",""
"","kapaletname-RAISE-B","1","","","0.908041628863488"
"kapsha","kapsha-RAISE-F","0","1","0.902005452987767",""
"","kapsha-RAISE-B","1","","","0.0979945470122329"
"karamet","karamet-RAISE-F","7","1","0.0113049913432676",""
"","karamet-RAISE-B","0","","","0.988695008656732"
"kariwat","kariwat-RAISE-F","2","1","0.993689095758045",""
"","kariwat-RAISE-B","26","","","0.00631090424195502"
"karta","karta-RAISE-F","0","1","0.992784894697789",""
"","karta-RAISE-B","61","","","0.00721510530221103"
"karwan","karwan-RAISE-F","0","1","0.996508551773715",""
"","karwan-RAISE-B","13","","","0.00349144822628511"
"karwat","karwat-RAISE-F","0","1","0.988694408104238",""
"","karwat-RAISE-B","6","","","0.0113055918957615"
"karxana","karxana-RAISE-F","0","1","0.997796152406248",""
"","karxana-RAISE-B","761","","","0.00220384759375192"
"kasa","kasa-RAISE-F","0","1","0.973851035180987",""
"","kasa-RAISE-B","2","","","0.0261489648190129"
"kasapet","kasapet-RAISE-F","1","1","0.0397978491608396",""
"","kasapet-RAISE-B","0","","","0.96020215083916"
"kasatlash","kasatlash-RAISE-F","0","1","0.962646389356458",""
"","kasatlash-RAISE-B","2","","","0.0373536106435416"
"kasha","kasha-RAISE-F","0","1","0.916076844500907",""
"","kasha-RAISE-B","1","","","0.0839231554990931"
"kashila","kashila-RAISE-F","0","1","0.993767285916304",""
"","kashila-RAISE-B","46","","","0.00623271408369608"
"kassa","kassa-RAISE-F","0","1","0.981945873967295",""
"","kassa-RAISE-B","35","","","0.0180541260327047"
"katégoriye","katégoriye-RAISE-F","63","1","0.0079549052565411",""
"","katégoriye-RAISE-B","0","","","0.992045094743459"
"katta","katta-RAISE-F","0","1","0.835853492011631",""
"","katta-RAISE-B","1","","","0.164146507988369"
"kawa","kawa-RAISE-F","0","1","0.989480661623738",""
"","kawa-RAISE-B","10","","","0.0105193383762616"
"kawap","kawap-RAISE-F","0","1","0.99408350294339",""
"","kawap-RAISE-B","1","","","0.00591649705660979"
"kawapxana","kawapxana-RAISE-F","0","1","0.969590970941973",""
"","kawapxana-RAISE-B","3","","","0.0304090290580272"
"kelime","kelime-RAISE-F","31","","0.0294668105227986",""
"","kelime-RAISE-B","0","1","","0.970533189477201"
"kélishimname","kélishimname-RAISE-F","32","1","0.210143538848501",""
"","kélishimname-RAISE-B","0","","","0.789856461151499"
"kembeghellesh","kembeghellesh-RAISE-F","1","","0.192361176166201",""
"","kembeghellesh-RAISE-B","0","1","","0.807638823833799"
"kemer","kemer-RAISE-F","1","","0.0208584391236572",""
"","kemer-RAISE-B","0","1","","0.979141560876343"
"kengesh","kengesh-RAISE-F","1","","0.0337611036849072",""
"","kengesh-RAISE-B","0","1","","0.966238896315093"
"kengre","kengre-RAISE-F","1","","0.0640535424998878",""
"","kengre-RAISE-B","0","1","","0.935946457500112"
"kepe","kepe-RAISE-F","48","","0.0458844647215504",""
"","kepe-RAISE-B","0","1","","0.95411553527845"
"képenle","képenle-RAISE-F","1","","0.292368363138538",""
"","képenle-RAISE-B","0","1","","0.707631636861462"
"kepter","kepter-RAISE-F","1","","0.00485322960915036",""
"","kepter-RAISE-B","0","1","","0.99514677039085"
"kerem","kerem-RAISE-F","29","","0.052527876877528",""
"","kerem-RAISE-B","0","1","","0.947472123122472"
"kereshme","kereshme-RAISE-F","3","","0.363844961821523",""
"","kereshme-RAISE-B","0","1","","0.636155038178477"
"keshte","keshte-RAISE-F","8","","0.245350344115735",""
"","keshte-RAISE-B","0","1","","0.754649655884265"
"kesipdash","kesipdash-RAISE-F","0","","0.991220015826172",""
"","kesipdash-RAISE-B","1","1","","0.00877998417382819"
"kesiplesh","kesiplesh-RAISE-F","4","","0.166199508036908",""
"","kesiplesh-RAISE-B","0","1","","0.833800491963092"
"ketküche","ketküche-RAISE-F","20","","0.620760338743682",""
"","ketküche-RAISE-B","0","1","","0.379239661256318"
"ketmen","ketmen-RAISE-F","10","","0.00333435793172925",""
"","ketmen-RAISE-B","0","1","","0.996665642068271"
"kinaye","kinaye-RAISE-F","45","1","0.0217384376873897",""
"","kinaye-RAISE-B","2","","","0.97826156231261"
"kinolash","kinolash-RAISE-F","0","1","0.835853492011631",""
"","kinolash-RAISE-B","1","","","0.164146507988369"
"kinoxana","kinoxana-RAISE-F","0","1","0.978007721655939",""
"","kinoxana-RAISE-B","36","","","0.021992278344061"
"kirgüche","kirgüche-RAISE-F","26","","0.205529528327042",""
"","kirgüche-RAISE-B","0","1","","0.794470471672958"
"kirxana","kirxana-RAISE-F","0","1","0.916076844500907",""
"","kirxana-RAISE-B","1","","","0.0839231554990931"
"kishenle","kishenle-RAISE-F","1","","0.254617356661619",""
"","kishenle-RAISE-B","0","1","","0.745382643338381"
"kitabche","kitabche-RAISE-F","0","1","0.508152787773303",""
"","kitabche-RAISE-B","40","","","0.491847212226697"
"kitabxana","kitabxana-RAISE-F","2","1","0.99163615799041",""
"","kitabxana-RAISE-B","102","","","0.00836384200958973"
"kocha","kocha-RAISE-F","0","1","0.997896112393485",""
"","kocha-RAISE-B","2019","","","0.00210388760651525"
"köchet","köchet-RAISE-F","1","","0.00539821142641542",""
"","köchet-RAISE-B","0","1","","0.994601788573585"
"kochila","kochila-RAISE-F","0","1","0.902005452987767",""
"","kochila-RAISE-B","3","","","0.0979945470122329"
"köchmen","köchmen-RAISE-F","1","","0.00135909711161581",""
"","köchmen-RAISE-B","0","1","","0.998640902888384"
"köchürme","köchürme-RAISE-F","6","","0.186691743578563",""
"","köchürme-RAISE-B","0","1","","0.813308256421437"
"kokula","kokula-RAISE-F","0","1","0.934046354325045",""
"","kokula-RAISE-B","1","","","0.0659536456749549"
"kola","kola-RAISE-F","0","1","0.992766298686006",""
"","kola-RAISE-B","10","","","0.00723370131399415"
"koldurma","koldurma-RAISE-F","0","1","0.977837846337227",""
"","koldurma-RAISE-B","5","","","0.0221621536627726"
"kölem","kölem-RAISE-F","26","","0.00158897694143933",""
"","kölem-RAISE-B","0","1","","0.998411023058561"
"komanda","komanda-RAISE-F","0","1","0.996989086301476",""
"","komanda-RAISE-B","460","","","0.0030109136985238"
"komissariyat","komissariyat-RAISE-F","0","1","0.957603008636117",""
"","komissariyat-RAISE-B","1","","","0.0423969913638828"
"kommuna","kommuna-RAISE-F","0","1","0.982973300712452",""
"","kommuna-RAISE-B","3","","","0.0170266992875482"
"kompartiye","kompartiye-RAISE-F","190","1","0.00196874854635196",""
"","kompartiye-RAISE-B","0","","","0.998031251453648"
"kömürxana","kömürxana-RAISE-F","0","1","0.957744668422072",""
"","kömürxana-RAISE-B","2","","","0.0422553315779279"
"kona","kona-RAISE-F","0","1","0.930424500861668",""
"","kona-RAISE-B","6","","","0.0695754991383322"
"konar","konar-RAISE-F","0","1","0.880924449858283",""
"","konar-RAISE-B","2","","","0.119075550141717"
"konsulxana","konsulxana-RAISE-F","2.00000000000001","1","0.996138839192828",""
"","konsulxana-RAISE-B","267","","","0.00386116080717247"
"köpey","köpey-RAISE-F","7","","0.00550958534505106",""
"","köpey-RAISE-B","1","1","","0.994490414654949"
"köpeytme","köpeytme-RAISE-F","1","","0.310373924070696",""
"","köpeytme-RAISE-B","0","1","","0.689626075929304"
"köpinche","köpinche-RAISE-F","75","","0.217032255097198",""
"","köpinche-RAISE-B","0","1","","0.782967744902802"
"köptürme","köptürme-RAISE-F","2","","0.40890648317002",""
"","köptürme-RAISE-B","0","1","","0.59109351682998"
"kora","kora-RAISE-F","0","1","0.970269338799638",""
