"","","","VAgree","HarmonizeBack","HarmonizeFront"
"epsuslan","epsuslan-RAISE-F","0","1","1",""
"","epsuslan-RAISE-B","4","","",""
"erdal","erdal-RAISE-F","0","","1",""
"","erdal-RAISE-B","1","1","",""
"erebche","erebche-RAISE-F","29","","",""
"","erebche-RAISE-B","0","1","","1"
"érenshe","érenshe-RAISE-F","2","","",""
"","érenshe-RAISE-B","0","1","","1"
"erméniye","erméniye-RAISE-F","1","","",""
"","erméniye-RAISE-B","0","1","","1"
"erzan","erzan-RAISE-F","4","","1",""
"","erzan-RAISE-B","0","1","",""
"erzanlash","erzanlash-RAISE-F","0","1","1",""
"","erzanlash-RAISE-B","1","","",""
"erze","erze-RAISE-F","84","","",""
"","erze-RAISE-B","0","1","","1"
"erziyet","erziyet-RAISE-F","1","","",""
"","erziyet-RAISE-B","0","1","","1"
"eser","eser-RAISE-F","450","","",""
"","eser-RAISE-B","0","1","","1"
"ésilzade","ésilzade-RAISE-F","21","1","",""
"","ésilzade-RAISE-B","0","","","1"
"eskertme","eskertme-RAISE-F","6","","",""
"","eskertme-RAISE-B","0","1","","1"
"esle","esle-RAISE-F","101","","",""
"","esle-RAISE-B","1","1","","1"
"eslet","eslet-RAISE-F","61","","",""
"","eslet-RAISE-B","0","1","","1"
"esletme","esletme-RAISE-F","14","","",""
"","esletme-RAISE-B","0","1","","1"
"eslime","eslime-RAISE-F","440","","",""
"","eslime-RAISE-B","1","1","","1"
"esne","esne-RAISE-F","7","","",""
"","esne-RAISE-B","0","1","","1"
"éstoniye","éstoniye-RAISE-F","7","1","",""
"","éstoniye-RAISE-B","0","","","1"
"ete","ete-RAISE-F","68","","",""
"","ete-RAISE-B","0","1","","1"
"étikapxana","étikapxana-RAISE-F","0","1","1",""
"","étikapxana-RAISE-B","2","","",""
"etret","etret-RAISE-F","89","","",""
"","etret-RAISE-B","0","1","","1"
"ewre","ewre-RAISE-F","2","","",""
"","ewre-RAISE-B","0","1","","1"
"ewret","ewret-RAISE-F","6","","",""
"","ewret-RAISE-B","0","1","","1"
"ewrez","ewrez-RAISE-F","1","","",""
"","ewrez-RAISE-B","0","1","","1"
"exlet","exlet-RAISE-F","1","","",""
"","exlet-RAISE-B","0","1","","1"
"exletxana","exletxana-RAISE-F","0","1","1",""
"","exletxana-RAISE-B","7","","",""
"eyiblen","eyiblen-RAISE-F","26","","",""
"","eyiblen-RAISE-B","0","1","","1"
"eyibname","eyibname-RAISE-F","67","1","",""
"","eyibname-RAISE-B","2","","","1"
"eymen","eymen-RAISE-F","18","","",""
"","eymen-RAISE-B","0","1","","1"
"ezel","ezel-RAISE-F","1","","",""
"","ezel-RAISE-B","0","1","","1"
"ezizle","ezizle-RAISE-F","6","","",""
"","ezizle-RAISE-B","0","1","","1"
"famile","famile-RAISE-F","308","1","",""
"","famile-RAISE-B","3","","","1"
"faza","faza-RAISE-F","0","1","1",""
"","faza-RAISE-B","4","","",""
"figura","figura-RAISE-F","0","1","1",""
"","figura-RAISE-B","57","","",""
"finlandiye","finlandiye-RAISE-F","10","1","",""
"","finlandiye-RAISE-B","0","","","1"
"forma","forma-RAISE-F","1","1","1",""
"","forma-RAISE-B","39","","",""
"formula","formula-RAISE-F","0","1","1",""
"","formula-RAISE-B","8","","",""
"fruktoza","fruktoza-RAISE-F","0","1","1",""
"","fruktoza-RAISE-B","2","","",""
"gacha","gacha-RAISE-F","0","1","1",""
"","gacha-RAISE-B","2","","",""
"gazarma","gazarma-RAISE-F","1","1","1",""
"","gazarma-RAISE-B","41","","",""
"gé'ométiriye","gé'ométiriye-RAISE-F","2","1","",""
"","gé'ométiriye-RAISE-B","0","","","1"
"geden","geden-RAISE-F","11","","",""
"","geden-RAISE-B","0","1","","1"
"geme","geme-RAISE-F","34","","",""
"","geme-RAISE-B","0","1","","1"
"gende","gende-RAISE-F","2","","",""
"","gende-RAISE-B","0","1","","1"
"geplesh","geplesh-RAISE-F","5","","",""
"","geplesh-RAISE-B","0","1","","1"
"gewde","gewde-RAISE-F","441","","",""
"","gewde-RAISE-B","0","1","","1"
"gewdilen","gewdilen-RAISE-F","7","","",""
"","gewdilen-RAISE-B","0","1","","1"
"gewdilesh","gewdilesh-RAISE-F","4","","",""
"","gewdilesh-RAISE-B","0","1","","1"
"gézende","gézende-RAISE-F","3","","",""
"","gézende-RAISE-B","0","1","","1"
"gézitxana","gézitxana-RAISE-F","0","1","1",""
"","gézitxana-RAISE-B","31","","",""
"gezle","gezle-RAISE-F","2","","",""
"","gezle-RAISE-B","0","1","","1"
"ghaday","ghaday-RAISE-F","0","1","1",""
"","ghaday-RAISE-B","1","","",""
"ghalcha","ghalcha-RAISE-F","0","1","1",""
"","ghalcha-RAISE-B","16","","",""
"ghalibiyet","ghalibiyet-RAISE-F","11","1","",""
"","ghalibiyet-RAISE-B","0","","","1"
"ghaye","ghaye-RAISE-F","189","1","",""
"","ghaye-RAISE-B","4","","","1"
"ghayiwilesh","ghayiwilesh-RAISE-F","0","1","",""
"","ghayiwilesh-RAISE-B","1","","","1"
"ghazat","ghazat-RAISE-F","0","1","1",""
"","ghazat-RAISE-B","13","","",""
"ghelbe","ghelbe-RAISE-F","138","","",""
"","ghelbe-RAISE-B","0","1","","1"
"ghelibe","ghelibe-RAISE-F","438","","",""
"","ghelibe-RAISE-B","0","1","","1"
"ghelite","ghelite-RAISE-F","30","","",""
"","ghelite-RAISE-B","1","1","","1"
"ghemle","ghemle-RAISE-F","1","","",""
"","ghemle-RAISE-B","0","1","","1"
"gherez","gherez-RAISE-F","49","","",""
"","gherez-RAISE-B","0","1","","1"
"ghéribane","ghéribane-RAISE-F","0","1","",""
"","ghéribane-RAISE-B","1","","","1"
"ghezel","ghezel-RAISE-F","12","","",""
"","ghezel-RAISE-B","0","1","","1"
"ghezep","ghezep-RAISE-F","20","","",""
"","ghezep-RAISE-B","0","1","","1"
"ghezeplen","ghezeplen-RAISE-F","3","","",""
"","ghezeplen-RAISE-B","0","1","","1"
"ghezze","ghezze-RAISE-F","3","","",""
"","ghezze-RAISE-B","0","1","","1"
"ghizalan","ghizalan-RAISE-F","0","1","1",""
"","ghizalan-RAISE-B","18","","",""
"ghora","ghora-RAISE-F","0","1","1",""
"","ghora-RAISE-B","2","","",""
"ghula","ghula-RAISE-F","0","1","1",""
"","ghula-RAISE-B","8","","",""
"ghulghula","ghulghula-RAISE-F","0","1","1",""
"","ghulghula-RAISE-B","61","","",""
"ghulja","ghulja-RAISE-F","0.999999999999973","1","1",""
"","ghulja-RAISE-B","902","","",""
"ghusse","ghusse-RAISE-F","1","1","",""
"","ghusse-RAISE-B","0","","","1"
"girmaniye","girmaniye-RAISE-F","4","1","",""
"","girmaniye-RAISE-B","0","","","1"
"golla","golla-RAISE-F","0","1","1",""
"","golla-RAISE-B","2","","",""
"gorilla","gorilla-RAISE-F","0","1","1",""
"","gorilla-RAISE-B","1","","",""
"güldürle","güldürle-RAISE-F","3","","",""
"","güldürle-RAISE-B","0","1","","1"
"güldürmama","güldürmama-RAISE-F","0","1","1",""
"","güldürmama-RAISE-B","4","","",""
"güldürme","güldürme-RAISE-F","1","","",""
"","güldürme-RAISE-B","0","1","","1"
"gülle","gülle-RAISE-F","1","","",""
"","gülle-RAISE-B","0","1","","1"
"gülxana","gülxana-RAISE-F","0","1","1",""
"","gülxana-RAISE-B","1","","",""
"gumanlan","gumanlan-RAISE-F","0","1","1",""
"","gumanlan-RAISE-B","33","","",""
"gümbez","gümbez-RAISE-F","3","","",""
"","gümbez-RAISE-B","0","1","","1"
"gumpa","gumpa-RAISE-F","0","1","1",""
"","gumpa-RAISE-B","2","","",""
"gundixana","gundixana-RAISE-F","0","1","1",""
"","gundixana-RAISE-B","1","","",""
"guruppa","guruppa-RAISE-F","0.999999999999969","1","1",""
"","guruppa-RAISE-B","954","","",""
"guwahname","guwahname-RAISE-F","28","1","",""
"","guwahname-RAISE-B","1","","","1"
"hadise","hadise-RAISE-F","970","1","",""
"","hadise-RAISE-B","4","","","1"
"hajet","hajet-RAISE-F","17","1","",""
"","hajet-RAISE-B","0","","","1"
"hajetxana","hajetxana-RAISE-F","0","1","1",""
"","hajetxana-RAISE-B","46","","",""
"halawet","halawet-RAISE-F","1","1","",""
"","halawet-RAISE-B","0","","","1"
"halet","halet-RAISE-F","701","1","",""
"","halet-RAISE-B","6","","","1"
"halsizlan","halsizlan-RAISE-F","0","1","1",""
"","halsizlan-RAISE-B","3","","",""
"hamile","hamile-RAISE-F","13","1","",""
"","hamile-RAISE-B","0","","","1"
"hangra","hangra-RAISE-F","0","1","1",""
"","hangra-RAISE-B","3","","",""
"haqaret","haqaret-RAISE-F","8","1","",""
"","haqaret-RAISE-B","0","","","1"
"haqaretle","haqaretle-RAISE-F","19","","",""
"","haqaretle-RAISE-B","0","1","","1"
"haramzade","haramzade-RAISE-F","2","1","",""
"","haramzade-RAISE-B","0","","","1"
"hararet","hararet-RAISE-F","3","1","",""
"","hararet-RAISE-B","0","","","1"
"harpa","harpa-RAISE-F","0","1","1",""
"","harpa-RAISE-B","1543","","",""
"harwa","harwa-RAISE-F","0","1","1",""
"","harwa-RAISE-B","84","","",""
"hasa","hasa-RAISE-F","0","1","1",""
"","hasa-RAISE-B","23","","",""
"hashar","hashar-RAISE-F","0","1","1",""
"","hashar-RAISE-B","5","","",""
"hasharcha","hasharcha-RAISE-F","0","1","1",""
"","hasharcha-RAISE-B","4","","",""
"hasira","hasira-RAISE-F","0","1","1",""
"","hasira-RAISE-B","1","","",""
"hawale","hawale-RAISE-F","3","1","",""
"","hawale-RAISE-B","1","","","1"
"hawsha","hawsha-RAISE-F","0","1","1",""
"","hawsha-RAISE-B","1","","",""
"hayajan","hayajan-RAISE-F","0","1","1",""
"","hayajan-RAISE-B","2","","",""
"hayajanlan","hayajanlan-RAISE-F","0","1","1",""
"","hayajanlan-RAISE-B","5","","",""
"hayan","hayan-RAISE-F","0","1","1",""
"","hayan-RAISE-B","2","","",""
"hazar","hazar-RAISE-F","0","1","1",""
"","hazar-RAISE-B","3","","",""
"hazirla","hazirla-RAISE-F","0","1","1",""
"","hazirla-RAISE-B","24","","",""
"héchnerse","héchnerse-RAISE-F","41","","",""
"","héchnerse-RAISE-B","0","1","","1"
"hediye","hediye-RAISE-F","7","","",""
"","hediye-RAISE-B","0","1","","1"
"hejile","hejile-RAISE-F","1","","",""
"","hejile-RAISE-B","0","1","","1"
"hékaye","hékaye-RAISE-F","535","1","",""
"","hékaye-RAISE-B","20","","","1"
"hemdusana","hemdusana-RAISE-F","0","1","1",""
"","hemdusana-RAISE-B","1","","",""
"hemkarlash","hemkarlash-RAISE-F","0","1","1",""
"","hemkarlash-RAISE-B","201","","",""
"hemme","hemme-RAISE-F","586","","",""
"","hemme-RAISE-B","0","1","","1"
"hemshire","hemshire-RAISE-F","10","","",""
"","hemshire-RAISE-B","0","1","","1"
"hemze","hemze-RAISE-F","4","","",""
"","hemze-RAISE-B","0","1","","1"
"hepse","hepse-RAISE-F","22","","",""
"","hepse-RAISE-B","0","1","","1"
"hepte","hepte-RAISE-F","1745","","",""
"","hepte-RAISE-B","0","1","","1"
"heqqaniyet","heqqaniyet-RAISE-F","3","1","",""
"","heqqaniyet-RAISE-B","0","","","1"
"here","here-RAISE-F","19","","",""
"","here-RAISE-B","0","1","","1"
"heriketlen","heriketlen-RAISE-F","14","","",""
"","heriketlen-RAISE-B","0","1","","1"
"hésabla","hésabla-RAISE-F","0","1","1",""
"","hésabla-RAISE-B","94","","",""
"hésapla","hésapla-RAISE-F","0","1","1",""
"","hésapla-RAISE-B","39","","",""
"hésaplan","hésaplan-RAISE-F","0","1","1",""
"","hésaplan-RAISE-B","94","","",""
"hesret","hesret-RAISE-F","27","","",""
"","hesret-RAISE-B","0","1","","1"
"hesretlen","hesretlen-RAISE-F","5","","",""
"","hesretlen-RAISE-B","0","1","","1"
"hesse","hesse-RAISE-F","215","","",""
"","hesse-RAISE-B","0","1","","1"
"hewes","hewes-RAISE-F","1","","",""
"","hewes-RAISE-B","0","1","","1"
"hey'et","hey'et-RAISE-F","49","","",""
"","hey'et-RAISE-B","0","1","","1"
"heyde","heyde-RAISE-F","24","","",""
"","heyde-RAISE-B","0","1","","1"
"heywe","heywe-RAISE-F","19","","",""
"","heywe-RAISE-B","0","1","","1"
"heywet","heywet-RAISE-F","1","","",""
"","heywet-RAISE-B","0","1","","1"
"hidayet","hidayet-RAISE-F","5","1","",""
"","hidayet-RAISE-B","0","","","1"
"hikaye","hikaye-RAISE-F","51","1","",""
"","hikaye-RAISE-B","6","","","1"
"himaye","himaye-RAISE-F","177","1","",""
"","himaye-RAISE-B","0","","","1"
"hindunéziye","hindunéziye-RAISE-F","1","1","",""
"","hindunéziye-RAISE-B","0","","","1"
"hisablan","hisablan-RAISE-F","0","1","1",""
"","hisablan-RAISE-B","1","","",""
"hisaplan","hisaplan-RAISE-F","0","1","1",""
"","hisaplan-RAISE-B","6","","",""
"hödde","hödde-RAISE-F","127","","",""
"","hödde-RAISE-B","0","1","","1"
"höjjet","höjjet-RAISE-F","121","","",""
"","höjjet-RAISE-B","0","1","","1"
"hökümet","hökümet-RAISE-F","2470","","",""
"","hökümet-RAISE-B","0","1","","1"
"höriyet","höriyet-RAISE-F","1","","",""
"","höriyet-RAISE-B","0","1","","1"
"hörmet","hörmet-RAISE-F","615","","",""
"","hörmet-RAISE-B","0","1","","1"
"hörmetle","hörmetle-RAISE-F","41","","",""
"","hörmetle-RAISE-B","0","1","","1"
"hoyla","hoyla-RAISE-F","0","1","1",""
"","hoyla-RAISE-B","537","","",""
"hüjeyre","hüjeyre-RAISE-F","53","","",""
"","hüjeyre-RAISE-B","0","1","","1"
"hujra","hujra-RAISE-F","0","1","1",""
"","hujra-RAISE-B","24","","",""
"hüner","hüner-RAISE-F","17","","",""
"","hüner-RAISE-B","0","1","","1"
"huwla","huwla-RAISE-F","0","1","1",""
"","huwla-RAISE-B","5","","",""
"huzurlan","huzurlan-RAISE-F","0","1","1",""
"","huzurlan-RAISE-B","11","","",""
"i'ane","i'ane-RAISE-F","15","1","",""
"","i'ane-RAISE-B","0","","","1"
"i'ordaniye","i'ordaniye-RAISE-F","8","1","",""
"","i'ordaniye-RAISE-B","0","","","1"
"ibadet","ibadet-RAISE-F","18","1","",""
"","ibadet-RAISE-B","0","","","1"
"ibadetxana","ibadetxana-RAISE-F","1.99999999999999","1","1",""
"","ibadetxana-RAISE-B","116","","",""
"ibare","ibare-RAISE-F","478","1","",""
"","ibare-RAISE-B","1","","","1"
"idare","idare-RAISE-F","913","1","",""
"","idare-RAISE-B","113","","","1"
"igelle","igelle-RAISE-F","5","","",""
"","igelle-RAISE-B","1","1","","1"
"ijadiyet","ijadiyet-RAISE-F","417","1","",""
"","ijadiyet-RAISE-B","2","","","1"
"ijare","ijare-RAISE-F","428","1","",""
"","ijare-RAISE-B","1","","","1"
"ijazet","ijazet-RAISE-F","8","1","",""
"","ijazet-RAISE-B","0","","","1"
"ijazetname","ijazetname-RAISE-F","10","1","",""
"","ijazetname-RAISE-B","2","","","1"
"ijtima'iyet","ijtima'iyet-RAISE-F","3","1","",""
"","ijtima'iyet-RAISE-B","0","","","1"
"ilahe","ilahe-RAISE-F","1","1","",""
"","ilahe-RAISE-B","2","","","1"
"ilawe","ilawe-RAISE-F","11","1","",""
"","ilawe-RAISE-B","5","","","1"
"ilgharlash","ilgharlash-RAISE-F","0","1","1",""
"","ilgharlash-RAISE-B","1","","",""
"ilhamlan","ilhamlan-RAISE-F","0","1","1",""
"","ilhamlan-RAISE-B","1","","",""
"imaret","imaret-RAISE-F","1","1","",""
"","imaret-RAISE-B","0","","","1"
"imkaniyet","imkaniyet-RAISE-F","624","1","",""
"","imkaniyet-RAISE-B","0","","","1"
"imzala","imzala-RAISE-F","0","1","1",""
"","imzala-RAISE-B","27","","",""
"inawet","inawet-RAISE-F","32","1","",""
"","inawet-RAISE-B","0","","","1"
"ingele","ingele-RAISE-F","1","","",""
"","ingele-RAISE-B","0","1","","1"
"ipade","ipade-RAISE-F","241","1","",""
"","ipade-RAISE-B","1","","","1"
"ipadila","ipadila-RAISE-F","60","1","1",""
"","ipadila-RAISE-B","0","","",""
"iptixarlan","iptixarlan-RAISE-F","0","1","1",""
"","iptixarlan-RAISE-B","5","","",""
"iqamet","iqamet-RAISE-F","1","1","",""
"","iqamet-RAISE-B","0","","","1"
"irade","irade-RAISE-F","545","1","",""
"","irade-RAISE-B","2","","","1"
"irlandiye","irlandiye-RAISE-F","1","1","",""
"","irlandiye-RAISE-B","0","","","1"
"ishare","ishare-RAISE-F","2","1","",""
"","ishare-RAISE-B","0","","","1"
"isharetle","isharetle-RAISE-F","13","","",""
"","isharetle-RAISE-B","0","1","","1"
"ishghaliyet","ishghaliyet-RAISE-F","57","1","",""
"","ishghaliyet-RAISE-B","0","","","1"
"ishxana","ishxana-RAISE-F","2","1","1",""
"","ishxana-RAISE-B","634","","",""
"iskenje","iskenje-RAISE-F","154","","",""
"","iskenje-RAISE-B","0","1","","1"
"ispaniye","ispaniye-RAISE-F","24","1","",""
"","ispaniye-RAISE-B","0","","","1"
"isparta","isparta-RAISE-F","0","1","1",""
"","isparta-RAISE-B","1","","",""
"ispatla","ispatla-RAISE-F","0","1","1",""
"","ispatla-RAISE-B","121","","",""
"ispatname","ispatname-RAISE-F","8","1","",""
"","ispatname-RAISE-B","0","","","1"
"isra'iliye","isra'iliye-RAISE-F","19","1","",""
"","isra'iliye-RAISE-B","0","","","1"
"istansa","istansa-RAISE-F","2","1","1",""
"","istansa-RAISE-B","212","","",""
"istiqamet","istiqamet-RAISE-F","1","1","",""
"","istiqamet-RAISE-B","0","","","1"
"istirahetxana","istirahetxana-RAISE-F","0","1","1",""
"","istirahetxana-RAISE-B","1","","",""
"ita'et","ita'et-RAISE-F","3","1","",""
"","ita'et-RAISE-B","0","","","1"
"italiye","italiye-RAISE-F","21","1","",""
"","italiye-RAISE-B","0","","","1"
"ixchamla","ixchamla-RAISE-F","0","1","1",""
"","ixchamla-RAISE-B","1","","",""
"izahla","izahla-RAISE-F","0.999999999999999","1","1",""
"","izahla-RAISE-B","12","","",""
"izzetle","izzetle-RAISE-F","10","","",""
"","izzetle-RAISE-B","0","1","","1"
"jada","jada-RAISE-F","0","1","1",""
"","jada-RAISE-B","2","","",""
"jahalet","jahalet-RAISE-F","2","1","",""
"","jahalet-RAISE-B","0","","","1"
"jakarla","jakarla-RAISE-F","0","1","1",""
"","jakarla-RAISE-B","60","","",""
"jakarname","jakarname-RAISE-F","0","1","",""
"","jakarname-RAISE-B","1","","","1"
"jama'et","jama'et-RAISE-F","374","1","",""
"","jama'et-RAISE-B","0","","","1"
"janane","janane-RAISE-F","0","1","",""
"","janane-RAISE-B","2","","","1"
"jangza","jangza-RAISE-F","0","1","1",""
"","jangza-RAISE-B","7","","",""
"janlan","janlan-RAISE-F","0","1","1",""
"","janlan-RAISE-B","48","","",""
"jarahet","jarahet-RAISE-F","12","1","",""
"","jarahet-RAISE-B","0","","","1"
"jarangla","jarangla-RAISE-F","0","1","1",""
"","jarangla-RAISE-B","3","","",""
"jasaret","jasaret-RAISE-F","69","1","",""
"","jasaret-RAISE-B","0","","","1"
"jasaretlen","jasaretlen-RAISE-F","2","","",""
"","jasaretlen-RAISE-B","0","1","","1"
"jayla","jayla-RAISE-F","0","1","1",""
"","jayla-RAISE-B","2","","",""
"jaylash","jaylash-RAISE-F","0","1","1",""
"","jaylash-RAISE-B","10","","",""
"jaza","jaza-RAISE-F","0","1","1",""
"","jaza-RAISE-B","12","","",""
"jazala","jazala-RAISE-F","0","1","1",""
"","jazala-RAISE-B","67","","",""
"jazalash","jazalash-RAISE-F","0","1","1",""
"","jazalash-RAISE-B","37","","",""
"jazibe","jazibe-RAISE-F","1","1","",""
"","jazibe-RAISE-B","0","","","1"
"jede","jede-RAISE-F","1","","",""
"","jede-RAISE-B","0","1","","1"
"jédellesh","jédellesh-RAISE-F","1","","",""
"","jédellesh-RAISE-B","0","1","","1"
"jedwel","jedwel-RAISE-F","32","","",""
"","jedwel-RAISE-B","0","1","","1"
"jehennem","jehennem-RAISE-F","1","","",""
"","jehennem-RAISE-B","0","1","","1"
"jem'iyet","jem'iyet-RAISE-F","1004","","",""
"","jem'iyet-RAISE-B","0","1","","1"
"jem'yet","jem'yet-RAISE-F","2","","",""
"","jem'yet-RAISE-B","0","1","","1"
"jemi'et","jemi'et-RAISE-F","1","","",""
"","jemi'et-RAISE-B","0","1","","1"
"jemiyet","jemiyet-RAISE-F","408","","",""
"","jemiyet-RAISE-B","0","1","","1"
"jemle","jemle-RAISE-F","4","","",""
"","jemle-RAISE-B","0","1","","1"
"jemlesh","jemlesh-RAISE-F","1","","",""
"","jemlesh-RAISE-B","0","1","","1"
"jengname","jengname-RAISE-F","1","1","",""
"","jengname-RAISE-B","0","","","1"
"jennet","jennet-RAISE-F","12","","",""
"","jennet-RAISE-B","0","1","","1"
"jerimane","jerimane-RAISE-F","15","1","",""
"","jerimane-RAISE-B","1","","","1"
"jeset","jeset-RAISE-F","13","","",""
"","jeset-RAISE-B","0","1","","1"
"jewher","jewher-RAISE-F","3","","",""
"","jewher-RAISE-B","0","1","","1"
"jezire","jezire-RAISE-F","14","","",""
"","jezire-RAISE-B","0","1","","1"
"jinayet","jinayet-RAISE-F","215","1","",""
"","jinayet-RAISE-B","0","","","1"
"jismaniyet","jismaniyet-RAISE-F","6","1","",""
"","jismaniyet-RAISE-B","0","","","1"
"jora","jora-RAISE-F","0","1","1",""
"","jora-RAISE-B","5","","",""
"joza","joza-RAISE-F","0","1","1",""
"","joza-RAISE-B","44","","",""
"jughlanma","jughlanma-RAISE-F","0","1","1",""
"","jughlanma-RAISE-B","12","","",""
"julala","julala-RAISE-F","0","1","1",""
"","julala-RAISE-B","4","","",""
"jumhuriyet","jumhuriyet-RAISE-F","654","1","",""
"","jumhuriyet-RAISE-B","4","","","1"
"jüple","jüple-RAISE-F","1","","",""
"","jüple-RAISE-B","0","1","","1"
"jür'et","jür'et-RAISE-F","9","","",""
"","jür'et-RAISE-B","0","1","","1"
"jurnal","jurnal-RAISE-F","0","1","1",""
"","jurnal-RAISE-B","3","","",""
"juwawa","juwawa-RAISE-F","0","1","1",""
"","juwawa-RAISE-B","2","","",""
"kachat","kachat-RAISE-F","0","1","1",""
"","kachat-RAISE-B","9","","",""
"kafédra","kafédra-RAISE-F","0","1","1",""
"","kafédra-RAISE-B","87","","",""
"kala","kala-RAISE-F","0","1","1",""
"","kala-RAISE-B","57","","",""
"kaliforniye","kaliforniye-RAISE-F","8","1","",""
"","kaliforniye-RAISE-B","0","","","1"
"kalla","kalla-RAISE-F","0","1","1",""
"","kalla-RAISE-B","199","","",""
"kamalet","kamalet-RAISE-F","15","1","",""
"","kamalet-RAISE-B","0","","","1"
"kamar","kamar-RAISE-F","0","1","1",""
"","kamar-RAISE-B","71","","",""
"kaméra","kaméra-RAISE-F","0","1","1",""
"","kaméra-RAISE-B","23","","",""
"kana","kana-RAISE-F","0","1","1",""
"","kana-RAISE-B","38","","",""
"kanay","kanay-RAISE-F","1","1","1",""
"","kanay-RAISE-B","5","","",""
"kapalet","kapalet-RAISE-F","29","1","",""
"","kapalet-RAISE-B","1","","","1"
"kapaletlen","kapaletlen-RAISE-F","1","","",""
"","kapaletlen-RAISE-B","0","1","","1"
"kapaletname","kapaletname-RAISE-F","5","1","",""
"","kapaletname-RAISE-B","1","","","1"
"kapsha","kapsha-RAISE-F","0","1","1",""
"","kapsha-RAISE-B","1","","",""
"karamet","karamet-RAISE-F","7","1","",""
"","karamet-RAISE-B","0","","","1"
"kariwat","kariwat-RAISE-F","2","1","1",""
"","kariwat-RAISE-B","26","","",""
"karta","karta-RAISE-F","0","1","1",""
"","karta-RAISE-B","61","","",""
"karwan","karwan-RAISE-F","0","1","1",""
"","karwan-RAISE-B","13","","",""
"karwat","karwat-RAISE-F","0","1","1",""
"","karwat-RAISE-B","6","","",""
"karxana","karxana-RAISE-F","0","1","1",""
"","karxana-RAISE-B","761","","",""
"kasa","kasa-RAISE-F","0","1","1",""
"","kasa-RAISE-B","2","","",""
"kasapet","kasapet-RAISE-F","1","1","",""
"","kasapet-RAISE-B","0","","","1"
"kasatlash","kasatlash-RAISE-F","0","1","1",""
"","kasatlash-RAISE-B","2","","",""
"kasha","kasha-RAISE-F","0","1","1",""
"","kasha-RAISE-B","1","","",""
"kashila","kashila-RAISE-F","0","1","1",""
"","kashila-RAISE-B","46","","",""
"kassa","kassa-RAISE-F","0","1","1",""
"","kassa-RAISE-B","35","","",""
"katégoriye","katégoriye-RAISE-F","63","1","",""
"","katégoriye-RAISE-B","0","","","1"
"katta","katta-RAISE-F","0","1","1",""
"","katta-RAISE-B","1","","",""
"kawa","kawa-RAISE-F","0","1","1",""
"","kawa-RAISE-B","10","","",""
"kawap","kawap-RAISE-F","0","1","1",""
"","kawap-RAISE-B","1","","",""
"kawapxana","kawapxana-RAISE-F","0","1","1",""
"","kawapxana-RAISE-B","3","","",""
"kelime","kelime-RAISE-F","31","","",""
"","kelime-RAISE-B","0","1","","1"
"kélishimname","kélishimname-RAISE-F","32","1","",""
"","kélishimname-RAISE-B","0","","","1"
"kembeghellesh","kembeghellesh-RAISE-F","1","","",""
"","kembeghellesh-RAISE-B","0","1","","1"
"kemer","kemer-RAISE-F","1","","",""
"","kemer-RAISE-B","0","1","","1"
"kengesh","kengesh-RAISE-F","1","","",""
"","kengesh-RAISE-B","0","1","","1"
"kengre","kengre-RAISE-F","1","","",""
"","kengre-RAISE-B","0","1","","1"
"kepe","kepe-RAISE-F","48","","",""
"","kepe-RAISE-B","0","1","","1"
"képenle","képenle-RAISE-F","1","","",""
"","képenle-RAISE-B","0","1","","1"
"kepter","kepter-RAISE-F","1","","",""
"","kepter-RAISE-B","0","1","","1"
"kerem","kerem-RAISE-F","29","","",""
"","kerem-RAISE-B","0","1","","1"
"kereshme","kereshme-RAISE-F","3","","",""
"","kereshme-RAISE-B","0","1","","1"
"keshte","keshte-RAISE-F","8","","",""
"","keshte-RAISE-B","0","1","","1"
"kesipdash","kesipdash-RAISE-F","0","","1",""
"","kesipdash-RAISE-B","1","1","",""
"kesiplesh","kesiplesh-RAISE-F","4","","",""
"","kesiplesh-RAISE-B","0","1","","1"
"ketküche","ketküche-RAISE-F","20","","",""
"","ketküche-RAISE-B","0","1","","1"
"ketmen","ketmen-RAISE-F","10","","",""
"","ketmen-RAISE-B","0","1","","1"
"kinaye","kinaye-RAISE-F","45","1","",""
"","kinaye-RAISE-B","2","","","1"
"kinolash","kinolash-RAISE-F","0","1","1",""
"","kinolash-RAISE-B","1","","",""
"kinoxana","kinoxana-RAISE-F","0","1","1",""
"","kinoxana-RAISE-B","36","","",""
"kirgüche","kirgüche-RAISE-F","26","","",""
"","kirgüche-RAISE-B","0","1","","1"
"kirxana","kirxana-RAISE-F","0","1","1",""
"","kirxana-RAISE-B","1","","",""
"kishenle","kishenle-RAISE-F","1","","",""
"","kishenle-RAISE-B","0","1","","1"
"kitabche","kitabche-RAISE-F","0","1","",""
"","kitabche-RAISE-B","40","","","1"
"kitabxana","kitabxana-RAISE-F","2","1","1",""
"","kitabxana-RAISE-B","102","","",""
"kocha","kocha-RAISE-F","0","1","1",""
"","kocha-RAISE-B","2019","","",""
"köchet","köchet-RAISE-F","1","","",""
"","köchet-RAISE-B","0","1","","1"
"kochila","kochila-RAISE-F","0","1","1",""
"","kochila-RAISE-B","3","","",""
"köchmen","köchmen-RAISE-F","1","","",""
"","köchmen-RAISE-B","0","1","","1"
"köchürme","köchürme-RAISE-F","6","","",""
"","köchürme-RAISE-B","0","1","","1"
"kokula","kokula-RAISE-F","0","1","1",""
