"Input","Output","Frequency","VAgreeSurface","VAgreeUnderlying","*Unraised","ID"
"dawrang-NON_RAISER","dawrang-NON_RAISER-UNRAISED-B","10","","","",""
"dawrang-RAISER","dawrang-RAISER-RAISED-F","0","1","1","","1"
"dawrang-RAISER","dawrang-RAISER-RAISED-B","3","","","","1"
"dawrang-RAISER","dawrang-RAISER-UNRAISED-F","0","1","1","1",""
"dawrang-RAISER","dawrang-RAISER-UNRAISED-B","0","","","1",""
"dawul-NON_RAISER","dawul-NON_RAISER-RAISED-F","0","1","1","","1"
"dawul-NON_RAISER","dawul-NON_RAISER-RAISED-B","0","","","","1"
"dawul-NON_RAISER","dawul-NON_RAISER-UNRAISED-F","0","1","1","",""
"dawul-NON_RAISER","dawul-NON_RAISER-UNRAISED-B","2","","","",""
"dawut-NON_RAISER","dawut-NON_RAISER-RAISED-F","0","1","1","","1"
"dawut-NON_RAISER","dawut-NON_RAISER-RAISED-B","0","","","","1"
"dawut-NON_RAISER","dawut-NON_RAISER-UNRAISED-F","0","1","1","",""
"dawut-NON_RAISER","dawut-NON_RAISER-UNRAISED-B","25","","","",""
"daxan-NON_RAISER","daxan-NON_RAISER-RAISED-F","0","1","1","","1"
"daxan-NON_RAISER","daxan-NON_RAISER-RAISED-B","0","","","","1"
"daxan-NON_RAISER","daxan-NON_RAISER-UNRAISED-F","0","1","1","",""
"daxan-NON_RAISER","daxan-NON_RAISER-UNRAISED-B","3","","","",""
"daya-RAISER","daya-RAISER-RAISED-F","0","1","1","","1"
"daya-RAISER","daya-RAISER-RAISED-B","6","","","","1"
"daya-RAISER","daya-RAISER-UNRAISED-F","0","1","1","1",""
"daya-RAISER","daya-RAISER-UNRAISED-B","0","","","1",""
"de'wet-RAISER","de'wet-RAISER-RAISED-F","1","","","","1"
"de'wet-RAISER","de'wet-RAISER-RAISED-B","0","1","1","","1"
"de'wet-RAISER","de'wet-RAISER-UNRAISED-F","0","","","1",""
"de'wet-RAISER","de'wet-RAISER-UNRAISED-B","0","1","1","1",""
"debdebe-RAISER","debdebe-RAISER-RAISED-F","44","","","","1"
"debdebe-RAISER","debdebe-RAISER-RAISED-B","0","1","1","","1"
"debdebe-RAISER","debdebe-RAISER-UNRAISED-F","0","","","1",""
"debdebe-RAISER","debdebe-RAISER-UNRAISED-B","0","1","1","1",""
"dehshet-NON_RAISER","dehshet-NON_RAISER-RAISED-F","0","","","","1"
"dehshet-NON_RAISER","dehshet-NON_RAISER-RAISED-B","0","1","1","","1"
"dehshet-NON_RAISER","dehshet-NON_RAISER-UNRAISED-F","361","","","",""
"dehshet-NON_RAISER","dehshet-NON_RAISER-UNRAISED-B","1","1","1","",""
"delille-NON_RAISER","delille-NON_RAISER-RAISED-F","0","","","","1"
"delille-NON_RAISER","delille-NON_RAISER-RAISED-B","0","1","1","","1"
"delille-NON_RAISER","delille-NON_RAISER-UNRAISED-F","50","","","",""
"delille-NON_RAISER","delille-NON_RAISER-UNRAISED-B","0","1","1","",""
"delille-RAISER","delille-RAISER-RAISED-F","64","","","","1"
"delille-RAISER","delille-RAISER-RAISED-B","0","1","1","","1"
"delille-RAISER","delille-RAISER-UNRAISED-F","2","","","1",""
"delille-RAISER","delille-RAISER-UNRAISED-B","0","1","1","1",""
"dellal-NON_RAISER","dellal-NON_RAISER-RAISED-F","0","","1","","1"
"dellal-NON_RAISER","dellal-NON_RAISER-RAISED-B","0","1","","","1"
"dellal-NON_RAISER","dellal-NON_RAISER-UNRAISED-F","0","1","1","",""
"dellal-NON_RAISER","dellal-NON_RAISER-UNRAISED-B","23","","","",""
"delle-RAISER","delle-RAISER-RAISED-F","2","","","","1"
"delle-RAISER","delle-RAISER-RAISED-B","0","1","1","","1"
"delle-RAISER","delle-RAISER-UNRAISED-F","0","","","1",""
"delle-RAISER","delle-RAISER-UNRAISED-B","0","1","1","1",""
"dendan-NON_RAISER","dendan-NON_RAISER-RAISED-F","0","","1","","1"
"dendan-NON_RAISER","dendan-NON_RAISER-RAISED-B","0","1","","","1"
"dendan-NON_RAISER","dendan-NON_RAISER-UNRAISED-F","0","1","1","",""
"dendan-NON_RAISER","dendan-NON_RAISER-UNRAISED-B","1","","","",""
"dende-RAISER","dende-RAISER-RAISED-F","2","","","","1"
"dende-RAISER","dende-RAISER-RAISED-B","0","1","1","","1"
"dende-RAISER","dende-RAISER-UNRAISED-F","0","","","1",""
"dende-RAISER","dende-RAISER-UNRAISED-B","0","1","1","1",""
"depne-RAISER","depne-RAISER-RAISED-F","2","","","","1"
"depne-RAISER","depne-RAISER-RAISED-B","0","1","1","","1"
"depne-RAISER","depne-RAISER-UNRAISED-F","0","","","1",""
"depne-RAISER","depne-RAISER-UNRAISED-B","0","1","1","1",""
"depter-NON_RAISER","depter-NON_RAISER-RAISED-F","0","","","","1"
"depter-NON_RAISER","depter-NON_RAISER-RAISED-B","0","1","1","","1"
"depter-NON_RAISER","depter-NON_RAISER-UNRAISED-F","58","","","",""
"depter-NON_RAISER","depter-NON_RAISER-UNRAISED-B","0","1","1","",""
"depter-RAISER","depter-RAISER-RAISED-F","48","","","","1"
"depter-RAISER","depter-RAISER-RAISED-B","0","1","1","","1"
"depter-RAISER","depter-RAISER-UNRAISED-F","0","","","1",""
"depter-RAISER","depter-RAISER-UNRAISED-B","0","1","1","1",""
"depterdar-NON_RAISER","depterdar-NON_RAISER-RAISED-F","0","","1","","1"
"depterdar-NON_RAISER","depterdar-NON_RAISER-RAISED-B","0","1","","","1"
"depterdar-NON_RAISER","depterdar-NON_RAISER-UNRAISED-F","0","1","1","",""
"depterdar-NON_RAISER","depterdar-NON_RAISER-UNRAISED-B","2","","","",""
"derex-NON_RAISER","derex-NON_RAISER-RAISED-F","0","","","","1"
"derex-NON_RAISER","derex-NON_RAISER-RAISED-B","0","1","1","","1"
"derex-NON_RAISER","derex-NON_RAISER-UNRAISED-F","149","","","",""
"derex-NON_RAISER","derex-NON_RAISER-UNRAISED-B","0","1","1","",""
"derex-RAISER","derex-RAISER-RAISED-F","6","","","","1"
"derex-RAISER","derex-RAISER-RAISED-B","0","1","1","","1"
"derex-RAISER","derex-RAISER-UNRAISED-F","0","","","1",""
"derex-RAISER","derex-RAISER-UNRAISED-B","0","1","1","1",""
"derghezep-NON_RAISER","derghezep-NON_RAISER-RAISED-F","0","","","","1"
"derghezep-NON_RAISER","derghezep-NON_RAISER-RAISED-B","0","1","1","","1"
"derghezep-NON_RAISER","derghezep-NON_RAISER-UNRAISED-F","3","","","",""
"derghezep-NON_RAISER","derghezep-NON_RAISER-UNRAISED-B","0","1","1","",""
"derguman-NON_RAISER","derguman-NON_RAISER-RAISED-F","0","1","1","","1"
"derguman-NON_RAISER","derguman-NON_RAISER-RAISED-B","0","","","","1"
"derguman-NON_RAISER","derguman-NON_RAISER-UNRAISED-F","0","1","1","",""
"derguman-NON_RAISER","derguman-NON_RAISER-UNRAISED-B","8","","","",""
"derije-RAISER","derije-RAISER-RAISED-F","9293","","","","1"
"derije-RAISER","derije-RAISER-RAISED-B","5","1","1","","1"
"derije-RAISER","derije-RAISER-UNRAISED-F","0","","","1",""
"derije-RAISER","derije-RAISER-UNRAISED-B","0","1","1","1",""
"derman-NON_RAISER","derman-NON_RAISER-RAISED-F","0","","1","","1"
"derman-NON_RAISER","derman-NON_RAISER-RAISED-B","0","1","","","1"
"derman-NON_RAISER","derman-NON_RAISER-UNRAISED-F","0","1","1","",""
"derman-NON_RAISER","derman-NON_RAISER-UNRAISED-B","5","","","",""
"dersxana-NON_RAISER","dersxana-NON_RAISER-RAISED-F","0","1","1","","1"
"dersxana-NON_RAISER","dersxana-NON_RAISER-RAISED-B","0","","","","1"
"dersxana-NON_RAISER","dersxana-NON_RAISER-UNRAISED-F","0","1","1","",""
"dersxana-NON_RAISER","dersxana-NON_RAISER-UNRAISED-B","1","","","",""
"dersxana-RAISER","dersxana-RAISER-RAISED-F","1","1","1","","1"
"dersxana-RAISER","dersxana-RAISER-RAISED-B","70","","","","1"
"dersxana-RAISER","dersxana-RAISER-UNRAISED-F","0","1","1","1",""
"dersxana-RAISER","dersxana-RAISER-UNRAISED-B","0","","","1",""
"derwaza-RAISER","derwaza-RAISER-RAISED-F","0","1","1","","1"
"derwaza-RAISER","derwaza-RAISER-RAISED-B","176","","","","1"
"derwaza-RAISER","derwaza-RAISER-UNRAISED-F","0","1","1","1",""
"derwaza-RAISER","derwaza-RAISER-UNRAISED-B","0","","","1",""
"derwaziwen-NON_RAISER","derwaziwen-NON_RAISER-RAISED-F","0","1","","","1"
"derwaziwen-NON_RAISER","derwaziwen-NON_RAISER-RAISED-B","0","","1","","1"
"derwaziwen-NON_RAISER","derwaziwen-NON_RAISER-UNRAISED-F","3","","","",""
"derwaziwen-NON_RAISER","derwaziwen-NON_RAISER-UNRAISED-B","0","1","1","",""
"derya-NON_RAISER","derya-NON_RAISER-RAISED-F","0","","1","","1"
"derya-NON_RAISER","derya-NON_RAISER-RAISED-B","0","1","","","1"
"derya-NON_RAISER","derya-NON_RAISER-UNRAISED-F","1","1","1","",""
"derya-NON_RAISER","derya-NON_RAISER-UNRAISED-B","276","","","",""
"desmaye-RAISER","desmaye-RAISER-RAISED-F","7","1","","","1"
"desmaye-RAISER","desmaye-RAISER-RAISED-B","2","","1","","1"
"desmaye-RAISER","desmaye-RAISER-UNRAISED-F","0","","","1",""
"desmaye-RAISER","desmaye-RAISER-UNRAISED-B","0","1","1","1",""
"desse-NON_RAISER","desse-NON_RAISER-RAISED-F","0","","","","1"
"desse-NON_RAISER","desse-NON_RAISER-RAISED-B","0","1","1","","1"
"desse-NON_RAISER","desse-NON_RAISER-UNRAISED-F","4","","","",""
"desse-NON_RAISER","desse-NON_RAISER-UNRAISED-B","0","1","1","",""
"desse-RAISER","desse-RAISER-RAISED-F","7","","","","1"
"desse-RAISER","desse-RAISER-RAISED-B","0","1","1","","1"
"desse-RAISER","desse-RAISER-UNRAISED-F","0","","","1",""
"desse-RAISER","desse-RAISER-UNRAISED-B","0","1","1","1",""
"destur-NON_RAISER","destur-NON_RAISER-RAISED-F","0","","1","","1"
"destur-NON_RAISER","destur-NON_RAISER-RAISED-B","0","1","","","1"
"destur-NON_RAISER","destur-NON_RAISER-UNRAISED-F","4","1","1","",""
"destur-NON_RAISER","destur-NON_RAISER-UNRAISED-B","26","","","",""
"dewa-NON_RAISER","dewa-NON_RAISER-RAISED-F","0","","1","","1"
"dewa-NON_RAISER","dewa-NON_RAISER-RAISED-B","0","1","","","1"
"dewa-NON_RAISER","dewa-NON_RAISER-UNRAISED-F","0","1","1","",""
"dewa-NON_RAISER","dewa-NON_RAISER-UNRAISED-B","332","","","",""
"dewet-NON_RAISER","dewet-NON_RAISER-RAISED-F","0","","","","1"
"dewet-NON_RAISER","dewet-NON_RAISER-RAISED-B","0","1","1","","1"
"dewet-NON_RAISER","dewet-NON_RAISER-UNRAISED-F","13","","","",""
"dewet-NON_RAISER","dewet-NON_RAISER-UNRAISED-B","0","1","1","",""
"dewet-RAISER","dewet-RAISER-RAISED-F","10","","","","1"
"dewet-RAISER","dewet-RAISER-RAISED-B","0","1","1","","1"
"dewet-RAISER","dewet-RAISER-UNRAISED-F","0","","","1",""
"dewet-RAISER","dewet-RAISER-UNRAISED-B","0","1","1","1",""
"dewlet-NON_RAISER","dewlet-NON_RAISER-RAISED-F","0","","","","1"
"dewlet-NON_RAISER","dewlet-NON_RAISER-RAISED-B","0","1","1","","1"
"dewlet-NON_RAISER","dewlet-NON_RAISER-UNRAISED-F","6","","","",""
"dewlet-NON_RAISER","dewlet-NON_RAISER-UNRAISED-B","0","1","1","",""
"dewran-NON_RAISER","dewran-NON_RAISER-RAISED-F","0","","1","","1"
"dewran-NON_RAISER","dewran-NON_RAISER-RAISED-B","0","1","","","1"
"dewran-NON_RAISER","dewran-NON_RAISER-UNRAISED-F","0","1","1","",""
"dewran-NON_RAISER","dewran-NON_RAISER-UNRAISED-B","1","","","",""
"dewre-RAISER","dewre-RAISER-RAISED-F","3","","","","1"
"dewre-RAISER","dewre-RAISER-RAISED-B","0","1","1","","1"
"dewre-RAISER","dewre-RAISER-UNRAISED-F","0","","","1",""
"dewre-RAISER","dewre-RAISER-UNRAISED-B","0","1","1","1",""
"deydey-NON_RAISER","deydey-NON_RAISER-RAISED-F","0","","","","1"
"deydey-NON_RAISER","deydey-NON_RAISER-RAISED-B","0","1","1","","1"
"deydey-NON_RAISER","deydey-NON_RAISER-UNRAISED-F","1","","","",""
"deydey-NON_RAISER","deydey-NON_RAISER-UNRAISED-B","0","1","1","",""
"didarlash-RAISER","didarlash-RAISER-RAISED-F","0","1","1","","1"
"didarlash-RAISER","didarlash-RAISER-RAISED-B","3","","","","1"
"didarlash-RAISER","didarlash-RAISER-UNRAISED-F","0","1","1","1",""
"didarlash-RAISER","didarlash-RAISER-UNRAISED-B","0","","","1",""
"diktator-NON_RAISER","diktator-NON_RAISER-RAISED-F","0","1","1","","1"
"diktator-NON_RAISER","diktator-NON_RAISER-RAISED-B","0","","","","1"
"diktator-NON_RAISER","diktator-NON_RAISER-UNRAISED-F","0","1","1","",""
"diktator-NON_RAISER","diktator-NON_RAISER-UNRAISED-B","94","","","",""
"diktatura-RAISER","diktatura-RAISER-RAISED-F","0","1","1","","1"
"diktatura-RAISER","diktatura-RAISER-RAISED-B","2","","","","1"
"diktatura-RAISER","diktatura-RAISER-UNRAISED-F","0","1","1","1",""
"diktatura-RAISER","diktatura-RAISER-UNRAISED-B","0","","","1",""
"dilxeste-NON_RAISER","dilxeste-NON_RAISER-RAISED-F","0","","","","1"
"dilxeste-NON_RAISER","dilxeste-NON_RAISER-RAISED-B","0","1","1","","1"
"dilxeste-NON_RAISER","dilxeste-NON_RAISER-UNRAISED-F","1","","","",""
"dilxeste-NON_RAISER","dilxeste-NON_RAISER-UNRAISED-B","0","1","1","",""
"dinozawr-NON_RAISER","dinozawr-NON_RAISER-RAISED-F","0","1","1","","1"
"dinozawr-NON_RAISER","dinozawr-NON_RAISER-RAISED-B","0","","","","1"
"dinozawr-NON_RAISER","dinozawr-NON_RAISER-UNRAISED-F","0","1","1","",""
"dinozawr-NON_RAISER","dinozawr-NON_RAISER-UNRAISED-B","5","","","",""
"dinshunas-NON_RAISER","dinshunas-NON_RAISER-RAISED-F","0","1","1","","1"
"dinshunas-NON_RAISER","dinshunas-NON_RAISER-RAISED-B","0","","","","1"
"dinshunas-NON_RAISER","dinshunas-NON_RAISER-UNRAISED-F","0","1","1","",""
"dinshunas-NON_RAISER","dinshunas-NON_RAISER-UNRAISED-B","14","","","",""
"diploma-RAISER","diploma-RAISER-RAISED-F","0","1","1","","1"
"diploma-RAISER","diploma-RAISER-RAISED-B","9","","","","1"
"diploma-RAISER","diploma-RAISER-UNRAISED-F","0","1","1","1",""
"diploma-RAISER","diploma-RAISER-UNRAISED-B","0","","","1",""
"diplomat-NON_RAISER","diplomat-NON_RAISER-RAISED-F","0","1","1","","1"
"diplomat-NON_RAISER","diplomat-NON_RAISER-RAISED-B","0","","","","1"
"diplomat-NON_RAISER","diplomat-NON_RAISER-UNRAISED-F","0","1","1","",""
"diplomat-NON_RAISER","diplomat-NON_RAISER-UNRAISED-B","240","","","",""
"diplomat-NON_RAISER","diplomat-NON_RAISER-RAISED-F","0","1","1","","1"
"diplomat-NON_RAISER","diplomat-NON_RAISER-RAISED-B","0","","","","1"
"diplomat-NON_RAISER","diplomat-NON_RAISER-UNRAISED-F","0","1","1","",""
"diplomat-NON_RAISER","diplomat-NON_RAISER-UNRAISED-B","2","","","",""
"diplomatiye-NON_RAISER","diplomatiye-NON_RAISER-RAISED-F","0","1","","","1"
"diplomatiye-NON_RAISER","diplomatiye-NON_RAISER-RAISED-B","0","","1","","1"
"diplomatiye-NON_RAISER","diplomatiye-NON_RAISER-UNRAISED-F","96","","","",""
"diplomatiye-NON_RAISER","diplomatiye-NON_RAISER-UNRAISED-B","0","1","1","",""
"dissértatsiye-NON_RAISER","dissértatsiye-NON_RAISER-RAISED-F","0","1","","","1"
"dissértatsiye-NON_RAISER","dissértatsiye-NON_RAISER-RAISED-B","0","","1","","1"
"dissértatsiye-NON_RAISER","dissértatsiye-NON_RAISER-UNRAISED-F","7","","","",""
"dissértatsiye-NON_RAISER","dissértatsiye-NON_RAISER-UNRAISED-B","0","1","1","",""
"diyanet-NON_RAISER","diyanet-NON_RAISER-RAISED-F","0","1","","","1"
"diyanet-NON_RAISER","diyanet-NON_RAISER-RAISED-B","0","","1","","1"
"diyanet-NON_RAISER","diyanet-NON_RAISER-UNRAISED-F","47","","","",""
"diyanet-NON_RAISER","diyanet-NON_RAISER-UNRAISED-B","0","1","1","",""
"diyanet-RAISER","diyanet-RAISER-RAISED-F","3","1","","","1"
"diyanet-RAISER","diyanet-RAISER-RAISED-B","0","","1","","1"
"diyanet-RAISER","diyanet-RAISER-UNRAISED-F","0","","","1",""
"diyanet-RAISER","diyanet-RAISER-UNRAISED-B","0","1","1","1",""
"dogowor-NON_RAISER","dogowor-NON_RAISER-RAISED-F","0","1","1","","1"
"dogowor-NON_RAISER","dogowor-NON_RAISER-RAISED-B","0","","","","1"
"dogowor-NON_RAISER","dogowor-NON_RAISER-UNRAISED-F","0","1","1","",""
"dogowor-NON_RAISER","dogowor-NON_RAISER-UNRAISED-B","1","","","",""
"dola-NON_RAISER","dola-NON_RAISER-RAISED-F","0","1","1","","1"
"dola-NON_RAISER","dola-NON_RAISER-RAISED-B","0","","","","1"
"dola-NON_RAISER","dola-NON_RAISER-UNRAISED-F","0","1","1","",""
"dola-NON_RAISER","dola-NON_RAISER-UNRAISED-B","5","","","",""
"dola-RAISER","dola-RAISER-RAISED-F","0","1","1","","1"
"dola-RAISER","dola-RAISER-RAISED-B","11","","","","1"
"dola-RAISER","dola-RAISER-UNRAISED-F","0","1","1","1",""
"dola-RAISER","dola-RAISER-UNRAISED-B","0","","","1",""
"dolan-NON_RAISER","dolan-NON_RAISER-RAISED-F","0","1","1","","1"
"dolan-NON_RAISER","dolan-NON_RAISER-RAISED-B","0","","","","1"
"dolan-NON_RAISER","dolan-NON_RAISER-UNRAISED-F","0","1","1","",""
"dolan-NON_RAISER","dolan-NON_RAISER-UNRAISED-B","16","","","",""
"dollar-NON_RAISER","dollar-NON_RAISER-RAISED-F","0","1","1","","1"
"dollar-NON_RAISER","dollar-NON_RAISER-RAISED-B","0","","","","1"
"dollar-NON_RAISER","dollar-NON_RAISER-UNRAISED-F","1","1","1","",""
"dollar-NON_RAISER","dollar-NON_RAISER-UNRAISED-B","693","","","",""
"dollar-RAISER","dollar-RAISER-RAISED-F","0","1","1","","1"
"dollar-RAISER","dollar-RAISER-RAISED-B","104","","","","1"
"dollar-RAISER","dollar-RAISER-UNRAISED-F","0","1","1","1",""
"dollar-RAISER","dollar-RAISER-UNRAISED-B","0","","","1",""
"dolqunla-RAISER","dolqunla-RAISER-RAISED-F","0","1","1","","1"
"dolqunla-RAISER","dolqunla-RAISER-RAISED-B","1","","","","1"
"dolqunla-RAISER","dolqunla-RAISER-UNRAISED-F","0","1","1","1",""
"dolqunla-RAISER","dolqunla-RAISER-UNRAISED-B","0","","","1",""
"domila-RAISER","domila-RAISER-RAISED-F","0","1","1","","1"
"domila-RAISER","domila-RAISER-RAISED-B","2","","","","1"
"domila-RAISER","domila-RAISER-UNRAISED-F","0","1","1","1",""
"domila-RAISER","domila-RAISER-UNRAISED-B","0","","","1",""
"doppa-NON_RAISER","doppa-NON_RAISER-RAISED-F","0","1","1","","1"
"doppa-NON_RAISER","doppa-NON_RAISER-RAISED-B","0","","","","1"
"doppa-NON_RAISER","doppa-NON_RAISER-UNRAISED-F","0","1","1","",""
"doppa-NON_RAISER","doppa-NON_RAISER-UNRAISED-B","2","","","",""
"doppa-RAISER","doppa-RAISER-RAISED-F","0","1","1","","1"
"doppa-RAISER","doppa-RAISER-RAISED-B","68","","","","1"
"doppa-RAISER","doppa-RAISER-UNRAISED-F","0","1","1","1",""
"doppa-RAISER","doppa-RAISER-UNRAISED-B","0","","","1",""
"doqurush-NON_RAISER","doqurush-NON_RAISER-RAISED-F","0","1","1","","1"
"doqurush-NON_RAISER","doqurush-NON_RAISER-RAISED-B","0","","","","1"
"doqurush-NON_RAISER","doqurush-NON_RAISER-UNRAISED-F","0","1","1","",""
"doqurush-NON_RAISER","doqurush-NON_RAISER-UNRAISED-B","2","","","",""
"dora-RAISER","dora-RAISER-RAISED-F","0","1","1","","1"
"dora-RAISER","dora-RAISER-RAISED-B","296","","","","1"
"dora-RAISER","dora-RAISER-UNRAISED-F","0","1","1","1",""
"dora-RAISER","dora-RAISER-UNRAISED-B","0","","","1",""
"dorishunas-NON_RAISER","dorishunas-NON_RAISER-RAISED-F","0","1","1","","1"
"dorishunas-NON_RAISER","dorishunas-NON_RAISER-RAISED-B","0","","","","1"
"dorishunas-NON_RAISER","dorishunas-NON_RAISER-UNRAISED-F","0","1","1","",""
"dorishunas-NON_RAISER","dorishunas-NON_RAISER-UNRAISED-B","2","","","",""
"dorixana-RAISER","dorixana-RAISER-RAISED-F","0","1","1","","1"
"dorixana-RAISER","dorixana-RAISER-RAISED-B","19","","","","1"
"dorixana-RAISER","dorixana-RAISER-UNRAISED-F","0","1","1","1",""
"dorixana-RAISER","dorixana-RAISER-UNRAISED-B","10","","","1",""
"dostane-RAISER","dostane-RAISER-RAISED-F","4","1","","","1"
"dostane-RAISER","dostane-RAISER-RAISED-B","5","","1","","1"
"dostane-RAISER","dostane-RAISER-UNRAISED-F","0","","","1",""
"dostane-RAISER","dostane-RAISER-UNRAISED-B","0","1","1","1",""
"dostlash-RAISER","dostlash-RAISER-RAISED-F","0","1","1","","1"
"dostlash-RAISER","dostlash-RAISER-RAISED-B","2","","","","1"
"dostlash-RAISER","dostlash-RAISER-UNRAISED-F","0","1","1","1",""
"dostlash-RAISER","dostlash-RAISER-UNRAISED-B","0","","","1",""
"dotey-NON_RAISER","dotey-NON_RAISER-RAISED-F","0","1","","","1"
"dotey-NON_RAISER","dotey-NON_RAISER-RAISED-B","0","","1","","1"
"dotey-NON_RAISER","dotey-NON_RAISER-UNRAISED-F","10","","","",""
"dotey-NON_RAISER","dotey-NON_RAISER-UNRAISED-B","0","1","1","",""
"dotey-RAISER","dotey-RAISER-RAISED-F","3","1","","","1"
"dotey-RAISER","dotey-RAISER-RAISED-B","0","","1","","1"
"dotey-RAISER","dotey-RAISER-UNRAISED-F","0","","","1",""
"dotey-RAISER","dotey-RAISER-UNRAISED-B","0","1","1","1",""
"doxtur-NON_RAISER","doxtur-NON_RAISER-RAISED-F","0","1","1","","1"
"doxtur-NON_RAISER","doxtur-NON_RAISER-RAISED-B","0","","","","1"
"doxtur-NON_RAISER","doxtur-NON_RAISER-UNRAISED-F","0","1","1","",""
"doxtur-NON_RAISER","doxtur-NON_RAISER-UNRAISED-B","715","","","",""
"doxturxana-NON_RAISER","doxturxana-NON_RAISER-RAISED-F","0","1","1","","1"
"doxturxana-NON_RAISER","doxturxana-NON_RAISER-RAISED-B","0","","","","1"
"doxturxana-NON_RAISER","doxturxana-NON_RAISER-UNRAISED-F","0","1","1","",""
"doxturxana-NON_RAISER","doxturxana-NON_RAISER-UNRAISED-B","1","","","",""
"doxturxana-RAISER","doxturxana-RAISER-RAISED-F","0","1","1","","1"
"doxturxana-RAISER","doxturxana-RAISER-RAISED-B","1125","","","","1"
"doxturxana-RAISER","doxturxana-RAISER-UNRAISED-F","0","1","1","1",""
"doxturxana-RAISER","doxturxana-RAISER-UNRAISED-B","43","","","1",""
"dozax-NON_RAISER","dozax-NON_RAISER-RAISED-F","0","1","1","","1"
"dozax-NON_RAISER","dozax-NON_RAISER-RAISED-B","0","","","","1"
"dozax-NON_RAISER","dozax-NON_RAISER-UNRAISED-F","1","1","1","",""
"dozax-NON_RAISER","dozax-NON_RAISER-UNRAISED-B","51","","","",""
"dozax-RAISER","dozax-RAISER-RAISED-F","0","1","1","","1"
"dozax-RAISER","dozax-RAISER-RAISED-B","2","","","","1"
"dozax-RAISER","dozax-RAISER-UNRAISED-F","0","1","1","1",""
"dozax-RAISER","dozax-RAISER-UNRAISED-B","0","","","1",""
"drama-NON_RAISER","drama-NON_RAISER-RAISED-F","0","1","1","","1"
"drama-NON_RAISER","drama-NON_RAISER-RAISED-B","0","","","","1"
"drama-NON_RAISER","drama-NON_RAISER-UNRAISED-F","0","1","1","",""
"drama-NON_RAISER","drama-NON_RAISER-UNRAISED-B","1","","","",""
"drama-NON_RAISER","drama-NON_RAISER-RAISED-F","0","1","1","","1"
"drama-NON_RAISER","drama-NON_RAISER-RAISED-B","0","","","","1"
"drama-NON_RAISER","drama-NON_RAISER-UNRAISED-F","0","1","1","",""
"drama-NON_RAISER","drama-NON_RAISER-UNRAISED-B","1","","","",""
"du'a-NON_RAISER","du'a-NON_RAISER-RAISED-F","0","1","1","","1"
"du'a-NON_RAISER","du'a-NON_RAISER-RAISED-B","0","","","","1"
"du'a-NON_RAISER","du'a-NON_RAISER-UNRAISED-F","1","1","1","",""
"du'a-NON_RAISER","du'a-NON_RAISER-UNRAISED-B","152","","","",""
"dukanche-RAISER","dukanche-RAISER-RAISED-F","0","1","","","1"
"dukanche-RAISER","dukanche-RAISER-RAISED-B","2","","1","","1"
"dukanche-RAISER","dukanche-RAISER-UNRAISED-F","0","","","1",""
"dukanche-RAISER","dukanche-RAISER-UNRAISED-B","0","1","1","1",""
"duldul-NON_RAISER","duldul-NON_RAISER-RAISED-F","0","1","1","","1"
"duldul-NON_RAISER","duldul-NON_RAISER-RAISED-B","0","","","","1"
"duldul-NON_RAISER","duldul-NON_RAISER-UNRAISED-F","0","1","1","",""
"duldul-NON_RAISER","duldul-NON_RAISER-UNRAISED-B","6","","","",""
"dumba-RAISER","dumba-RAISER-RAISED-F","4","1","1","","1"
"dumba-RAISER","dumba-RAISER-RAISED-B","0","","","","1"
"dumba-RAISER","dumba-RAISER-UNRAISED-F","0","1","1","1",""
"dumba-RAISER","dumba-RAISER-UNRAISED-B","0","","","1",""
"dumbala-RAISER","dumbala-RAISER-RAISED-F","0","1","1","","1"
"dumbala-RAISER","dumbala-RAISER-RAISED-B","1","","","","1"
"dumbala-RAISER","dumbala-RAISER-UNRAISED-F","0","1","1","1",""
"dumbala-RAISER","dumbala-RAISER-UNRAISED-B","0","","","1",""
"duniya-NON_RAISER","duniya-NON_RAISER-RAISED-F","0","1","1","","1"
"duniya-NON_RAISER","duniya-NON_RAISER-RAISED-B","0","","","","1"
"duniya-NON_RAISER","duniya-NON_RAISER-UNRAISED-F","0","1","1","",""
"duniya-NON_RAISER","duniya-NON_RAISER-UNRAISED-B","2549","","","",""
"dunya-NON_RAISER","dunya-NON_RAISER-RAISED-F","0","1","1","","1"
"dunya-NON_RAISER","dunya-NON_RAISER-RAISED-B","0","","","","1"
"dunya-NON_RAISER","dunya-NON_RAISER-UNRAISED-F","1","1","1","",""
"dunya-NON_RAISER","dunya-NON_RAISER-UNRAISED-B","6151","","","",""
"dunyawi-NON_RAISER","dunyawi-NON_RAISER-RAISED-F","0","1","1","","1"
"dunyawi-NON_RAISER","dunyawi-NON_RAISER-RAISED-B","0","","","","1"
"dunyawi-NON_RAISER","dunyawi-NON_RAISER-UNRAISED-F","0","1","1","",""
"dunyawi-NON_RAISER","dunyawi-NON_RAISER-UNRAISED-B","1","","","",""
"dunyawilash-RAISER","dunyawilash-RAISER-RAISED-F","0","1","1","","1"
"dunyawilash-RAISER","dunyawilash-RAISER-RAISED-B","2","","","","1"
"dunyawilash-RAISER","dunyawilash-RAISER-UNRAISED-F","0","1","1","1",""
"dunyawilash-RAISER","dunyawilash-RAISER-UNRAISED-B","0","","","1",""
